locus_tag	ftype	length_bp	gene	EC_number	COG	product
JDNKGJJD_00036	CDS	1632	pitA		COG0306	Low-affinity inorganic phosphate transporter 1
JDNKGJJD_00037	CDS	1335	dsdA	4.3.1.18	COG3048	D-serine dehydratase
JDNKGJJD_00038	CDS	1548				hypothetical protein
JDNKGJJD_00039	CDS	165				hypothetical protein
JDNKGJJD_00040	CDS	1008	egtB	1.14.99.50		Hercynine oxygenase
JDNKGJJD_00041	CDS	1677	atsA_1	3.1.6.1	COG3119	Arylsulfatase
JDNKGJJD_00042	CDS	618	glpG	3.4.21.105		Rhomboid protease GlpG
JDNKGJJD_00043	CDS	639	nfuA		COG0316	Fe/S biogenesis protein NfuA
JDNKGJJD_00044	CDS	2265	pfeA		COG4771	Ferric enterobactin receptor
JDNKGJJD_00045	CDS	1008				hypothetical protein
JDNKGJJD_00046	CDS	1026	lip1	3.1.1.3		Lipase 1
JDNKGJJD_00047	CDS	615	mtcA2	4.2.1.1	COG0288	Carbonic anhydrase 2
JDNKGJJD_00048	CDS	561	tesA	3.1.1.1	COG2755	Esterase TesA
JDNKGJJD_00049	CDS	693	ytrE		COG1136	ABC transporter ATP-binding protein YtrE
JDNKGJJD_00050	CDS	2460				hypothetical protein
JDNKGJJD_00051	CDS	810	aarA	3.4.21.105	COG0705	Rhomboid protease AarA
JDNKGJJD_00052	CDS	678	mtgA	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
JDNKGJJD_00053	CDS	2079	ppk_1	2.7.4.1		Polyphosphate kinase
JDNKGJJD_00054	CDS	591				hypothetical protein
JDNKGJJD_00055	CDS	909	oxyR			Hydrogen peroxide-inducible genes activator
JDNKGJJD_00056	CDS	945	rdmC	3.1.1.95		Aclacinomycin methylesterase RdmC
JDNKGJJD_00057	CDS	1182	rubB	1.18.1.1	COG1251	Rubredoxin-NAD(+) reductase
JDNKGJJD_00058	CDS	165	rubA		COG1773	Rubredoxin
JDNKGJJD_00059	CDS	438				hypothetical protein
JDNKGJJD_00060	CDS	489				hypothetical protein
JDNKGJJD_00061	CDS	1530	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
JDNKGJJD_00062	CDS	1443				hypothetical protein
JDNKGJJD_00063	CDS	99				hypothetical protein
JDNKGJJD_00064	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
JDNKGJJD_00065	CDS	1614	cysN	2.7.7.4		Sulfate adenylyltransferase subunit 1
JDNKGJJD_00066	CDS	549				hypothetical protein
JDNKGJJD_00067	CDS	513				hypothetical protein
JDNKGJJD_00068	CDS	1338	citN		COG2851	Citrate transporter
JDNKGJJD_00069	CDS	1326				hypothetical protein
JDNKGJJD_00070	CDS	990	syrM1			HTH-type transcriptional regulator SyrM 1
JDNKGJJD_00071	CDS	1605		4.1.3.1	COG2224	Isocitrate lyase
JDNKGJJD_00072	CDS	480	nlpE		COG3015	Lipoprotein NlpE
JDNKGJJD_00073	CDS	324				hypothetical protein
JDNKGJJD_00074	CDS	876	ureD		COG0829	Urease accessory protein UreD
JDNKGJJD_00075	CDS	303	ureA	3.5.1.5		Urease subunit gamma
JDNKGJJD_00076	CDS	309	ureB	3.5.1.5		Urease subunit beta
JDNKGJJD_00077	CDS	1701	ureC	3.5.1.5		Urease subunit alpha
JDNKGJJD_00078	CDS	483	ureE			Urease accessory protein UreE
JDNKGJJD_00079	CDS	666	ureF		COG0830	Urease accessory protein UreF
JDNKGJJD_00080	CDS	615	ureG			Urease accessory protein UreG
JDNKGJJD_00081	CDS	570				hypothetical protein
JDNKGJJD_00082	CDS	552	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
JDNKGJJD_00083	CDS	2019	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
JDNKGJJD_00084	CDS	519				hypothetical protein
JDNKGJJD_00085	CDS	1314				hypothetical protein
JDNKGJJD_00086	CDS	654	adk	2.7.4.3	COG0563	Adenylate kinase
JDNKGJJD_00087	CDS	693	nth	4.2.99.18	COG0177	Endonuclease III
JDNKGJJD_00088	CDS	792	rsxB	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
JDNKGJJD_00089	CDS	1404	gdhA_1	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
JDNKGJJD_00090	CDS	1110				hypothetical protein
JDNKGJJD_00091	CDS	777	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
JDNKGJJD_00092	CDS	480	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
JDNKGJJD_00093	CDS	2430	lon_1	3.4.21.53	COG0466	Lon protease
JDNKGJJD_00094	CDS	585	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
JDNKGJJD_00095	CDS	561	ompW		COG3047	Outer membrane protein W
JDNKGJJD_00096	CDS	357				hypothetical protein
JDNKGJJD_00097	CDS	1920	htpG		COG0326	Chaperone protein HtpG
JDNKGJJD_00098	CDS	903				hypothetical protein
JDNKGJJD_00099	CDS	1140				hypothetical protein
JDNKGJJD_00100	CDS	705				hypothetical protein
JDNKGJJD_00101	CDS	759				hypothetical protein
JDNKGJJD_00102	CDS	366	hmrR_1			HTH-type transcriptional regulator HmrR
JDNKGJJD_00103	CDS	558	ydeN	3.-.-.-	COG3545	Putative hydrolase YdeN
JDNKGJJD_00104	CDS	717				hypothetical protein
JDNKGJJD_00105	CDS	492				hypothetical protein
JDNKGJJD_00106	CDS	1173	fadA_1	2.3.1.16		3-ketoacyl-CoA thiolase
JDNKGJJD_00107	CDS	2154	fadB			Fatty acid oxidation complex subunit alpha
JDNKGJJD_00108	CDS	915				hypothetical protein
JDNKGJJD_00109	CDS	1044				hypothetical protein
JDNKGJJD_00110	CDS	531				hypothetical protein
JDNKGJJD_00111	CDS	1809	uvrC		COG0322	UvrABC system protein C
JDNKGJJD_00112	CDS	795				hypothetical protein
JDNKGJJD_00113	CDS	588	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
JDNKGJJD_00114	CDS	855	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
JDNKGJJD_00115	CDS	612				hypothetical protein
JDNKGJJD_00116	CDS	774				hypothetical protein
JDNKGJJD_00117	CDS	2100	aaeB		COG1289	p-hydroxybenzoic acid efflux pump subunit AaeB
JDNKGJJD_00118	CDS	207				hypothetical protein
JDNKGJJD_00119	CDS	1002	aaeA		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
JDNKGJJD_00120	CDS	441	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
JDNKGJJD_00121	CDS	555				hypothetical protein
JDNKGJJD_00122	CDS	1668	recN		COG0497	DNA repair protein RecN
JDNKGJJD_00123	CDS	1311				hypothetical protein
JDNKGJJD_00124	CDS	327	ppnP	2.4.2.2	COG3123	Pyrimidine/purine nucleoside phosphorylase
JDNKGJJD_00125	CDS	750	rlmB_1	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
JDNKGJJD_00126	CDS	915				hypothetical protein
JDNKGJJD_00127	CDS	597	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
JDNKGJJD_00128	CDS	861	outO			Type 4 prepilin-like proteins leader peptide-processing enzyme
JDNKGJJD_00129	CDS	1227	epsF_1		COG1459	Type II secretion system protein F
JDNKGJJD_00130	CDS	1713				hypothetical protein
JDNKGJJD_00131	CDS	795	tpiA	5.3.1.1		Triosephosphate isomerase
JDNKGJJD_00132	CDS	330	secG		COG1314	Protein-export membrane protein SecG
JDNKGJJD_00133	tRNA	85				tRNA-Leu(gag)
JDNKGJJD_00134	tRNA	77				tRNA-Met(cat)
JDNKGJJD_00135	tRNA	77				tRNA-Met(cat)
JDNKGJJD_00136	CDS	525	rimP		COG0779	Ribosome maturation factor RimP
JDNKGJJD_00137	CDS	1485	nusA		COG0195	Transcription termination/antitermination protein NusA
JDNKGJJD_00138	CDS	2700	infB		COG0532	Translation initiation factor IF-2
JDNKGJJD_00139	CDS	402	rbfA		COG0858	30S ribosome-binding factor
JDNKGJJD_00140	CDS	405	mrpG		COG1320	Na(+)/H(+) antiporter subunit G
JDNKGJJD_00141	CDS	276	mrpF		COG2212	Na(+)/H(+) antiporter subunit F
JDNKGJJD_00142	CDS	528	mnhE1		COG1863	Na(+)/H(+) antiporter subunit E1
JDNKGJJD_00143	CDS	1812	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
JDNKGJJD_00144	CDS	369	mnhC1		COG1006	Na(+)/H(+) antiporter subunit C1
JDNKGJJD_00145	CDS	2838	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
JDNKGJJD_00146	CDS	1383				hypothetical protein
JDNKGJJD_00147	CDS	1503	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
JDNKGJJD_00148	CDS	768	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
JDNKGJJD_00149	CDS	267				hypothetical protein
JDNKGJJD_00150	CDS	387			COG0346	Virulence protein
JDNKGJJD_00151	CDS	1314			COG0654	putative protein
JDNKGJJD_00152	CDS	1620	ubiB_1	2.7.-.-	COG0661	putative protein kinase UbiB
JDNKGJJD_00153	CDS	669	ubiJ			Ubiquinone biosynthesis accessory factor UbiJ
JDNKGJJD_00154	CDS	948	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
JDNKGJJD_00155	CDS	708				hypothetical protein
JDNKGJJD_00156	CDS	1419	pap	2.7.4.-	COG2326	Polyphosphate:AMP phosphotransferase
JDNKGJJD_00157	CDS	507				hypothetical protein
JDNKGJJD_00158	CDS	3636	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
JDNKGJJD_00159	CDS	3699	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
JDNKGJJD_00160	CDS	1764	recD	3.1.11.5		RecBCD enzyme subunit RecD
JDNKGJJD_00161	CDS	1299	amiE	3.5.1.28		N-acetylmuramyl-L-alanine amidase
JDNKGJJD_00162	CDS	270	rpsO		COG0184	30S ribosomal protein S15
JDNKGJJD_00163	CDS	2094	pnp	2.7.7.8		Polyribonucleotide nucleotidyltransferase
JDNKGJJD_00164	CDS	1212				hypothetical protein
JDNKGJJD_00165	CDS	330	cbpM			Chaperone modulatory protein CbpM
JDNKGJJD_00166	CDS	957	cbpA		COG2214	Curved DNA-binding protein
JDNKGJJD_00167	CDS	612	leuE_1		COG1280	Leucine efflux protein
JDNKGJJD_00168	CDS	876	hslO		COG1281	33 kDa chaperonin
JDNKGJJD_00169	CDS	1842	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
JDNKGJJD_00170	CDS	2229	priA	3.6.4.-	COG1198	Primosomal protein N'
JDNKGJJD_00171	CDS	1206	epsF_2		COG1459	Type II secretion system protein F
JDNKGJJD_00172	CDS	582				hypothetical protein
JDNKGJJD_00173	CDS	345				hypothetical protein
JDNKGJJD_00174	CDS	339	csaA		COG0073	putative chaperone CsaA
JDNKGJJD_00175	CDS	1560	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
JDNKGJJD_00176	CDS	840	corC		COG4535	Magnesium and cobalt efflux protein CorC
JDNKGJJD_00177	CDS	258	tusA_1		COG0425	Sulfur carrier protein TusA
JDNKGJJD_00178	CDS	2241				hypothetical protein
JDNKGJJD_00179	CDS	3327				hypothetical protein
JDNKGJJD_00180	CDS	516	dsbB			Disulfide bond formation protein B
JDNKGJJD_00181	CDS	1578	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
JDNKGJJD_00182	CDS	540				hypothetical protein
JDNKGJJD_00183	CDS	564				hypothetical protein
JDNKGJJD_00184	CDS	1311				hypothetical protein
JDNKGJJD_00185	CDS	1155	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
JDNKGJJD_00186	CDS	1368	mepA			Multidrug export protein MepA
JDNKGJJD_00187	CDS	834	sadH_1	1.-.-.-		Putative oxidoreductase SadH
JDNKGJJD_00188	CDS	672				hypothetical protein
JDNKGJJD_00189	CDS	711	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
JDNKGJJD_00190	CDS	1359	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
JDNKGJJD_00191	CDS	1197				hypothetical protein
JDNKGJJD_00192	CDS	852	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
JDNKGJJD_00193	CDS	855	rhdA	2.8.1.1	COG2897	Thiosulfate sulfurtransferase
JDNKGJJD_00194	CDS	1215	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase 2
JDNKGJJD_00195	CDS	444	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
JDNKGJJD_00196	CDS	486				hypothetical protein
JDNKGJJD_00197	CDS	336				hypothetical protein
JDNKGJJD_00198	CDS	1224	serB2	3.1.3.3	COG0560	Phosphoserine phosphatase SerB2
JDNKGJJD_00199	CDS	1290				hypothetical protein
JDNKGJJD_00200	CDS	1122	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
JDNKGJJD_00201	CDS	471	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
JDNKGJJD_00202	CDS	450	nusB			Transcription antitermination protein NusB
JDNKGJJD_00203	CDS	918	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
JDNKGJJD_00204	CDS	534				hypothetical protein
JDNKGJJD_00205	CDS	1365	glmU			Bifunctional protein GlmU
JDNKGJJD_00206	CDS	1839	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
JDNKGJJD_00207	CDS	822	tnsA			Transposon Tn7 transposition protein TnsA
JDNKGJJD_00208	CDS	2109	tnsB			Transposon Tn7 transposition protein TnsB
JDNKGJJD_00209	CDS	1668	tnsC			Transposon Tn7 transposition protein TnsC
JDNKGJJD_00210	CDS	1527				hypothetical protein
JDNKGJJD_00211	CDS	1617	tnsE			Transposon Tn7 transposition protein TnsE
JDNKGJJD_00212	CDS	378				hypothetical protein
JDNKGJJD_00213	CDS	372				hypothetical protein
JDNKGJJD_00214	CDS	498				hypothetical protein
JDNKGJJD_00215	CDS	789	ant1_1	2.7.7.47		Streptomycin 3''-adenylyltransferase
JDNKGJJD_00216	CDS	525	wecD	2.3.1.210		dTDP-fucosamine acetyltransferase
JDNKGJJD_00217	CDS	474	dhfrI	1.5.1.3		Dihydrofolate reductase type 1
JDNKGJJD_00218	CDS	537	xerC_1			Tyrosine recombinase XerC
JDNKGJJD_00219	CDS	3006				Tn3 family transposase Tn3
JDNKGJJD_00220	CDS	558	tnpR			Transposon Tn3 resolvase
JDNKGJJD_00221	CDS	861	bla	3.5.2.6		Beta-lactamase TEM
JDNKGJJD_00222	CDS	240				hypothetical protein
JDNKGJJD_00223	CDS	801	racE	5.1.1.3	COG0796	Glutamate racemase 1
JDNKGJJD_00224	CDS	639			COG0546	putative protein
JDNKGJJD_00225	CDS	1827				hypothetical protein
JDNKGJJD_00226	CDS	954	hutG	3.5.3.8	COG0010	Formimidoylglutamase
JDNKGJJD_00227	CDS	1206	hutI	3.5.2.7	COG1228	Imidazolonepropionase
JDNKGJJD_00228	CDS	1413	proY		COG1113	Proline-specific permease ProY
JDNKGJJD_00229	CDS	1539	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
JDNKGJJD_00230	CDS	1677	hutU	4.2.1.49	COG2987	Urocanate hydratase
JDNKGJJD_00231	CDS	576	ves		COG3758	Protein Ves
JDNKGJJD_00232	CDS	753	nagR_1		COG2188	HTH-type transcriptional repressor NagR
JDNKGJJD_00233	CDS	1113	oatA	2.3.1.-		O-acetyltransferase OatA
JDNKGJJD_00234	CDS	1266	yciC		COG0523	Putative metal chaperone YciC
JDNKGJJD_00235	CDS	684				hypothetical protein
JDNKGJJD_00236	CDS	795	chbG_1	3.5.1.105		Chitooligosaccharide deacetylase
JDNKGJJD_00237	CDS	981		2.4.-.-		putative glycosyltransferase
JDNKGJJD_00238	CDS	381				hypothetical protein
JDNKGJJD_00239	CDS	1647	arnT_1	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
JDNKGJJD_00240	CDS	2715	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
JDNKGJJD_00241	CDS	933	etfA_1		COG2025	Electron transfer flavoprotein subunit alpha
JDNKGJJD_00242	CDS	750	etfB_1			Electron transfer flavoprotein subunit beta
JDNKGJJD_00243	CDS	915	xerC_2		COG4973	Tyrosine recombinase XerC
JDNKGJJD_00244	CDS	624	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
JDNKGJJD_00245	CDS	846	dapF_1	5.1.1.7		Diaminopimelate epimerase
JDNKGJJD_00246	CDS	1251	lysA_1	4.1.1.20	COG0019	Diaminopimelate decarboxylase
JDNKGJJD_00247	CDS	225				hypothetical protein
JDNKGJJD_00248	CDS	1479	cycA_1		COG1113	D-serine/D-alanine/glycine transporter
JDNKGJJD_00249	CDS	1389	radA_1	3.6.4.-	COG1066	DNA repair protein RadA
JDNKGJJD_00250	CDS	978				hypothetical protein
JDNKGJJD_00251	CDS	975	epmA_1	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
JDNKGJJD_00252	CDS	1068	pdxB_1	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
JDNKGJJD_00253	CDS	393				hypothetical protein
JDNKGJJD_00254	CDS	792	fdhD_1		COG1526	Sulfur carrier protein FdhD
JDNKGJJD_00255	CDS	2409	ydeP_1		COG0243	Protein YdeP
JDNKGJJD_00256	CDS	1158	garK_1	2.7.1.165	COG1929	Glycerate 2-kinase
JDNKGJJD_00257	CDS	567				hypothetical protein
JDNKGJJD_00258	CDS	786				hypothetical protein
JDNKGJJD_00259	CDS	606	drgA_1			Protein DrgA
JDNKGJJD_00260	CDS	618				hypothetical protein
JDNKGJJD_00261	CDS	864				hypothetical protein
JDNKGJJD_00262	CDS	579				hypothetical protein
JDNKGJJD_00263	CDS	915				hypothetical protein
JDNKGJJD_00264	CDS	417				hypothetical protein
JDNKGJJD_00265	CDS	405				hypothetical protein
JDNKGJJD_00266	CDS	783				hypothetical protein
JDNKGJJD_00267	CDS	300				hypothetical protein
JDNKGJJD_00268	CDS	300				hypothetical protein
JDNKGJJD_00269	CDS	783				hypothetical protein
JDNKGJJD_00270	CDS	405				hypothetical protein
JDNKGJJD_00271	CDS	417				hypothetical protein
JDNKGJJD_00272	CDS	915				hypothetical protein
JDNKGJJD_00273	CDS	579				hypothetical protein
JDNKGJJD_00274	CDS	864				hypothetical protein
JDNKGJJD_00275	CDS	618				hypothetical protein
JDNKGJJD_00276	CDS	606	drgA_2			Protein DrgA
JDNKGJJD_00277	CDS	786				hypothetical protein
JDNKGJJD_00278	CDS	567				hypothetical protein
JDNKGJJD_00279	CDS	1158	garK_2	2.7.1.165	COG1929	Glycerate 2-kinase
JDNKGJJD_00280	CDS	2409	ydeP_2		COG0243	Protein YdeP
JDNKGJJD_00281	CDS	792	fdhD_2		COG1526	Sulfur carrier protein FdhD
JDNKGJJD_00282	CDS	393				hypothetical protein
JDNKGJJD_00283	CDS	1068	pdxB_2	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
JDNKGJJD_00284	CDS	975	epmA_2	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
JDNKGJJD_00285	CDS	978				hypothetical protein
JDNKGJJD_00286	CDS	1389	radA_2	3.6.4.-	COG1066	DNA repair protein RadA
JDNKGJJD_00287	CDS	1479	cycA_2		COG1113	D-serine/D-alanine/glycine transporter
JDNKGJJD_00288	CDS	225				hypothetical protein
JDNKGJJD_00289	CDS	1251	lysA_2	4.1.1.20	COG0019	Diaminopimelate decarboxylase
JDNKGJJD_00290	CDS	846	dapF_2	5.1.1.7		Diaminopimelate epimerase
JDNKGJJD_00291	CDS	624	rhtB_2		COG1280	Homoserine/homoserine lactone efflux protein
JDNKGJJD_00292	CDS	915	xerC_3		COG4973	Tyrosine recombinase XerC
JDNKGJJD_00293	CDS	750	etfB_2			Electron transfer flavoprotein subunit beta
JDNKGJJD_00294	CDS	933	etfA_2		COG2025	Electron transfer flavoprotein subunit alpha
JDNKGJJD_00295	CDS	2715	gyrA_2	5.6.2.2	COG0188	DNA gyrase subunit A
JDNKGJJD_00296	CDS	1647	arnT_2	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
JDNKGJJD_00297	CDS	381				hypothetical protein
JDNKGJJD_00298	CDS	981		2.4.-.-		putative glycosyltransferase
JDNKGJJD_00299	CDS	795	chbG_2	3.5.1.105		Chitooligosaccharide deacetylase
JDNKGJJD_00300	CDS	267				hypothetical protein
JDNKGJJD_00301	CDS	699	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
JDNKGJJD_00302	CDS	1035				putative HTH-type transcriptional regulator
JDNKGJJD_00303	CDS	993				hypothetical protein
JDNKGJJD_00304	CDS	801				hypothetical protein
JDNKGJJD_00305	CDS	819	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
JDNKGJJD_00306	CDS	894	rhaS_1			HTH-type transcriptional activator RhaS
JDNKGJJD_00307	CDS	999	ppsC	2.3.1.41		Phthiocerol synthesis polyketide synthase type I PpsC
JDNKGJJD_00308	CDS	876	hchA_1	3.1.2.-		Protein/nucleic acid deglycase HchA
JDNKGJJD_00309	tRNA	74				tRNA-Arg(cct)
JDNKGJJD_00310	CDS	1356	aroP_1		COG1113	Aromatic amino acid transport protein AroP
JDNKGJJD_00311	CDS	1188	prpF	5.3.3.-	COG2828	2-methyl-aconitate isomerase
JDNKGJJD_00312	CDS	912	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
JDNKGJJD_00313	CDS	369				hypothetical protein
JDNKGJJD_00314	CDS	855	qmcA		COG0330	Protein QmcA
JDNKGJJD_00315	CDS	462				hypothetical protein
JDNKGJJD_00316	CDS	918				hypothetical protein
JDNKGJJD_00317	CDS	408				hypothetical protein
JDNKGJJD_00318	CDS	168				hypothetical protein
JDNKGJJD_00319	CDS	1248	ampG_1		COG0477	Anhydromuropeptide permease
JDNKGJJD_00320	CDS	1332				hypothetical protein
JDNKGJJD_00321	CDS	1602	eptA	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
JDNKGJJD_00322	CDS	675	qseB_1			Transcriptional regulatory protein QseB
JDNKGJJD_00323	CDS	1341	qseC_1	2.7.13.3		Sensor protein QseC
JDNKGJJD_00324	CDS	600				hypothetical protein
JDNKGJJD_00325	CDS	1188	amtB_1			Ammonia channel
JDNKGJJD_00326	CDS	885	cmpR_1			HTH-type transcriptional activator CmpR
JDNKGJJD_00327	CDS	906				hypothetical protein
JDNKGJJD_00328	CDS	1017				hypothetical protein
JDNKGJJD_00329	CDS	579				hypothetical protein
JDNKGJJD_00330	CDS	2880	valS	6.1.1.9	COG0525	Valine--tRNA ligase
JDNKGJJD_00331	CDS	696				hypothetical protein
JDNKGJJD_00332	CDS	807	hcaB_1	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
JDNKGJJD_00333	CDS	435				hypothetical protein
JDNKGJJD_00334	CDS	435				hypothetical protein
JDNKGJJD_00335	CDS	351				hypothetical protein
JDNKGJJD_00336	CDS	1455	oprM		COG1538	Outer membrane protein OprM
JDNKGJJD_00337	CDS	3177	mexB_1		COG0841	Multidrug resistance protein MexB
JDNKGJJD_00338	CDS	1251	acrA			Multidrug efflux pump subunit AcrA
JDNKGJJD_00339	CDS	627				hypothetical protein
JDNKGJJD_00340	CDS	2061				hypothetical protein
JDNKGJJD_00341	CDS	978	sdsA	2.5.1.84		All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)
JDNKGJJD_00342	CDS	312	rplU		COG0261	50S ribosomal protein L21
JDNKGJJD_00343	CDS	258	rpmA		COG0211	50S ribosomal protein L27
JDNKGJJD_00344	CDS	696	lolA		COG2834	Outer-membrane lipoprotein carrier protein
JDNKGJJD_00345	CDS	789				hypothetical protein
JDNKGJJD_00346	CDS	1272	serS	6.1.1.11	COG0172	Serine--tRNA ligase
JDNKGJJD_00347	CDS	1374	cysG		COG0007	Siroheme synthase
JDNKGJJD_00348	CDS	474	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
JDNKGJJD_00349	CDS	381	yybR		COG1733	putative HTH-type transcriptional regulator YybR
JDNKGJJD_00350	CDS	561	fldP_1			Flavodoxin FldP
