locus_tag	ftype	length_bp	gene	EC_number	COG	product
GNBELFNB_00044	CDS	936	lpxL_1	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
GNBELFNB_00045	CDS	1101	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
GNBELFNB_00046	CDS	477	gltP_1		COG1301	Proton/glutamate-aspartate symporter
GNBELFNB_00047	CDS	228				hypothetical protein
GNBELFNB_00048	CDS	228				hypothetical protein
GNBELFNB_00049	CDS	477	gltP_2		COG1301	Proton/glutamate-aspartate symporter
GNBELFNB_00050	CDS	1101	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
GNBELFNB_00051	CDS	936	lpxL_2	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
GNBELFNB_00052	CDS	633	leuE_2		COG1280	Leucine efflux protein
GNBELFNB_00053	CDS	1911	uup_2		COG0488	ABC transporter ATP-binding protein uup
GNBELFNB_00054	CDS	246	slyX_2			Protein SlyX
GNBELFNB_00055	CDS	1011				Zinc-type alcohol dehydrogenase-like protein
GNBELFNB_00056	CDS	378				hypothetical protein
GNBELFNB_00057	CDS	450				hypothetical protein
GNBELFNB_00058	CDS	2637	topA_2	5.6.2.1	COG0550	DNA topoisomerase 1
GNBELFNB_00059	CDS	759				hypothetical protein
GNBELFNB_00060	CDS	573				hypothetical protein
GNBELFNB_00061	CDS	1980	pcrA_2	3.6.4.12		ATP-dependent DNA helicase PcrA
GNBELFNB_00062	CDS	240				hypothetical protein
GNBELFNB_00063	CDS	504				hypothetical protein
GNBELFNB_00064	CDS	279				hypothetical protein
GNBELFNB_00065	CDS	1710	ybaL_2		COG1226	Putative cation/proton antiporter YbaL
GNBELFNB_00066	CDS	156	rpmG_2		COG0267	50S ribosomal protein L33
GNBELFNB_00067	CDS	237	rpmB_2		COG0227	50S ribosomal protein L28
GNBELFNB_00068	CDS	1449	calB_2	1.2.1.68		Coniferyl aldehyde dehydrogenase
GNBELFNB_00069	CDS	693				hypothetical protein
GNBELFNB_00070	CDS	864	purU_2	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
GNBELFNB_00071	CDS	756				hypothetical protein
GNBELFNB_00072	CDS	621	tolQ_2			Tol-Pal system protein TolQ
GNBELFNB_00073	CDS	405	exbD_2		COG0848	Biopolymer transport protein ExbD
GNBELFNB_00074	CDS	522	msrA_2	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
GNBELFNB_00075	CDS	1056				hypothetical protein
GNBELFNB_00076	CDS	510	dhfrIII_2	1.5.1.3		Dihydrofolate reductase type 3
GNBELFNB_00077	CDS	843	thyA_2	2.1.1.45	COG0207	Thymidylate synthase
GNBELFNB_00078	CDS	363				hypothetical protein
GNBELFNB_00079	CDS	360				hypothetical protein
GNBELFNB_00080	CDS	819	lgt_2	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
GNBELFNB_00081	CDS	780				hypothetical protein
GNBELFNB_00082	CDS	2334				hypothetical protein
GNBELFNB_00083	CDS	2181				hypothetical protein
GNBELFNB_00084	CDS	768	tatC_2		COG0805	Sec-independent protein translocase protein TatC
GNBELFNB_00085	CDS	438	tatB_2			Sec-independent protein translocase protein TatB
GNBELFNB_00086	CDS	219	tatA_2		COG1826	Sec-independent protein translocase protein TatA
GNBELFNB_00087	CDS	876				hypothetical protein
GNBELFNB_00088	CDS	624	rdgB_2	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
GNBELFNB_00089	CDS	543				hypothetical protein
GNBELFNB_00090	CDS	594	metXA_2		COG0500	Bifunctional methionine biosynthesis protein MetXA/MetW
GNBELFNB_00091	CDS	1161	metXS_2	2.3.1.46	COG2021	Homoserine O-succinyltransferase
GNBELFNB_00092	CDS	1698	leuA_2	2.3.3.13	COG0119	2-isopropylmalate synthase
GNBELFNB_00093	CDS	684		1.14.11.-	COG3128	PKHD-type hydroxylase
GNBELFNB_00094	CDS	2289	bfrD_2		COG4774	putative TonB-dependent receptor BfrD
GNBELFNB_00095	CDS	924	rfbD_1	5.4.99.9		UDP-galactopyranose mutase
GNBELFNB_00096	CDS	216				hypothetical protein
GNBELFNB_00097	CDS	1029				hypothetical protein
GNBELFNB_00098	CDS	1779	aspS	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
GNBELFNB_00099	CDS	765				hypothetical protein
GNBELFNB_00100	CDS	2076			COG1629	putative TonB-dependent receptor
GNBELFNB_00101	CDS	1464	clsA	2.7.8.-		Cardiolipin synthase A
GNBELFNB_00102	CDS	447				hypothetical protein
GNBELFNB_00103	CDS	384				hypothetical protein
GNBELFNB_00104	CDS	483	psiE			Protein PsiE
GNBELFNB_00105	CDS	1782	dmdC_1	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
GNBELFNB_00106	CDS	1803	dmdC_2	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
GNBELFNB_00107	CDS	381				hypothetical protein
GNBELFNB_00108	CDS	1557	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
GNBELFNB_00109	CDS	687	baeR		COG0745	Transcriptional regulatory protein BaeR
GNBELFNB_00110	CDS	1443	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
GNBELFNB_00111	CDS	1173				hypothetical protein
GNBELFNB_00112	CDS	531				hypothetical protein
GNBELFNB_00113	CDS	714	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
GNBELFNB_00114	CDS	579	cobO	2.5.1.-	COG2096	Cobalamin adenosyltransferase
GNBELFNB_00115	CDS	1833	cirA		COG4771	Colicin I receptor
GNBELFNB_00116	CDS	660	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
GNBELFNB_00117	CDS	1230	trpB_1	4.2.1.20	COG0133	Tryptophan synthase beta chain
GNBELFNB_00118	CDS	513				hypothetical protein
GNBELFNB_00119	CDS	996				hypothetical protein
GNBELFNB_00120	CDS	876				hypothetical protein
GNBELFNB_00121	CDS	1050				hypothetical protein
GNBELFNB_00122	CDS	804	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
GNBELFNB_00123	CDS	897	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
GNBELFNB_00124	CDS	1287	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
GNBELFNB_00125	CDS	1071				hypothetical protein
GNBELFNB_00126	CDS	579				hypothetical protein
GNBELFNB_00127	CDS	777		3.-.-.-		putative metallo-hydrolase
GNBELFNB_00128	CDS	642		1.11.1.15	COG0450	Peroxiredoxin
GNBELFNB_00129	CDS	2724	secA		COG0653	Protein translocase subunit SecA
GNBELFNB_00130	CDS	444				hypothetical protein
GNBELFNB_00131	CDS	1311	yhjE			Inner membrane metabolite transport protein YhjE
GNBELFNB_00132	CDS	630				hypothetical protein
GNBELFNB_00133	CDS	381				hypothetical protein
GNBELFNB_00134	CDS	888				hypothetical protein
GNBELFNB_00135	CDS	420		2.3.1.-		Acetyltransferase
GNBELFNB_00136	CDS	861				hypothetical protein
GNBELFNB_00137	CDS	255				hypothetical protein
GNBELFNB_00138	CDS	2136	fadJ_1		COG1024	Fatty acid oxidation complex subunit alpha
GNBELFNB_00139	CDS	1206	fadA_1	2.3.1.-	COG0183	Putative acyltransferase
GNBELFNB_00140	CDS	1011				putative HTH-type transcriptional regulator
GNBELFNB_00141	CDS	1119	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
GNBELFNB_00142	CDS	1254	oprB_1		COG3659	Porin B
GNBELFNB_00143	CDS	2406	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
GNBELFNB_00144	CDS	1644	sir	1.8.7.1	COG0155	Sulfite reductase [ferredoxin]
GNBELFNB_00145	CDS	486				hypothetical protein
GNBELFNB_00146	CDS	354	mdtI			Spermidine export protein MdtI
GNBELFNB_00147	CDS	444				hypothetical protein
GNBELFNB_00148	CDS	1176	thlA_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
GNBELFNB_00149	CDS	516				hypothetical protein
GNBELFNB_00150	CDS	1071			COG2885	Outer membrane protein Omp38
GNBELFNB_00151	CDS	159				hypothetical protein
GNBELFNB_00152	CDS	1206	rtcB	6.5.1.-	COG1690	RNA-splicing ligase RtcB
GNBELFNB_00153	CDS	1461	lysP		COG0833	Lysine-specific permease
GNBELFNB_00154	CDS	1014	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
GNBELFNB_00155	CDS	1359	xanP		COG2233	Xanthine permease XanP
GNBELFNB_00156	CDS	1836	typA		COG1217	GTP-binding protein TypA/BipA
GNBELFNB_00157	CDS	432	mscL		COG1970	Large-conductance mechanosensitive channel
GNBELFNB_00158	CDS	462				hypothetical protein
GNBELFNB_00159	CDS	291	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
GNBELFNB_00160	CDS	825	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
GNBELFNB_00161	CDS	567		3.2.2.-		Putative 3-methyladenine DNA glycosylase
GNBELFNB_00162	CDS	2130	cntO_1			Metal-pseudopaline receptor CntO
GNBELFNB_00163	CDS	1110	namA_1	1.6.99.1	COG1902	NADPH dehydrogenase
GNBELFNB_00164	CDS	924				hypothetical protein
GNBELFNB_00165	CDS	825				hypothetical protein
GNBELFNB_00166	CDS	711	dsbC_1		COG1651	putative thiol:disulfide interchange protein DsbC
GNBELFNB_00167	CDS	723	ygfZ			tRNA-modifying protein YgfZ
GNBELFNB_00168	CDS	450				hypothetical protein
GNBELFNB_00169	CDS	357				hypothetical protein
GNBELFNB_00170	CDS	345				hypothetical protein
GNBELFNB_00171	CDS	342				hypothetical protein
GNBELFNB_00172	CDS	1716	proS	6.1.1.15	COG0442	Proline--tRNA ligase
GNBELFNB_00173	CDS	3099	mdtC			Multidrug resistance protein MdtC
GNBELFNB_00174	CDS	1119	mdtA_1			Multidrug resistance protein MdtA
GNBELFNB_00175	CDS	639				hypothetical protein
GNBELFNB_00176	CDS	1791	argS_1	6.1.1.19		Arginine--tRNA ligase
GNBELFNB_00177	CDS	624	ftsN_1			Cell division protein FtsN
GNBELFNB_00178	CDS	669				hypothetical protein
GNBELFNB_00179	CDS	408				hypothetical protein
GNBELFNB_00180	CDS	948				hypothetical protein
GNBELFNB_00181	CDS	306				hypothetical protein
GNBELFNB_00182	CDS	528	yqjI_1		COG1695	Transcriptional regulator YqjI
GNBELFNB_00183	CDS	789	ant1_1	2.7.7.47		Streptomycin 3''-adenylyltransferase
GNBELFNB_00184	CDS	1569	guaA_1	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
GNBELFNB_00185	CDS	1230				hypothetical protein
GNBELFNB_00186	CDS	438	yqjF_1		COG2259	Inner membrane protein YqjF
GNBELFNB_00187	CDS	642	dedA_1		COG0586	Protein DedA
GNBELFNB_00188	CDS	591				hypothetical protein
GNBELFNB_00189	CDS	387				hypothetical protein
GNBELFNB_00190	CDS	843	parA_1			Chromosome partitioning protein ParA
GNBELFNB_00191	CDS	393				hypothetical protein
GNBELFNB_00192	CDS	309	bolA_1		COG0271	DNA-binding transcriptional regulator BolA
GNBELFNB_00193	tRNA	76				tRNA-Gly(gcc)
GNBELFNB_00194	tRNA	76				tRNA-Gly(gcc)
GNBELFNB_00195	CDS	705	abaF_1			Fosfomycin resistance protein AbaF
GNBELFNB_00196	CDS	1026	fadJ_2	5.1.2.3		Fatty acid oxidation complex subunit alpha
GNBELFNB_00197	CDS	774	echA8_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
GNBELFNB_00198	CDS	1128	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
GNBELFNB_00199	CDS	1650	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
GNBELFNB_00200	CDS	891	mmsB_1	1.1.1.31	COG2084	3-hydroxyisobutyrate dehydrogenase
GNBELFNB_00201	CDS	1518	mmsA_1	1.2.1.27	COG1012	Methylmalonate-semialdehyde dehydrogenase [acylating]
GNBELFNB_00202	CDS	882	hdfR_1			HTH-type transcriptional regulator HdfR
GNBELFNB_00203	CDS	1431	cycA_1		COG1113	D-serine/D-alanine/glycine transporter
GNBELFNB_00204	CDS	1440	cycA_2		COG1113	D-serine/D-alanine/glycine transporter
GNBELFNB_00205	CDS	360	rutC_1	1.-.-.-		Putative aminoacrylate peracid reductase RutC
GNBELFNB_00206	CDS	1104	dadX_1	5.1.1.1	COG0787	Alanine racemase, catabolic
GNBELFNB_00207	CDS	1266	dadA1_1	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
GNBELFNB_00208	CDS	468	lrp_1		COG1522	Leucine-responsive regulatory protein
GNBELFNB_00209	CDS	1146				hypothetical protein
GNBELFNB_00210	CDS	2091	cntO_2			Metal-pseudopaline receptor CntO
GNBELFNB_00211	CDS	381				hypothetical protein
GNBELFNB_00212	CDS	375				hypothetical protein
GNBELFNB_00213	CDS	666	rluA_1	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
GNBELFNB_00214	CDS	702				hypothetical protein
GNBELFNB_00215	CDS	702				hypothetical protein
GNBELFNB_00216	CDS	792				hypothetical protein
GNBELFNB_00217	CDS	1095				hypothetical protein
GNBELFNB_00218	CDS	2814				hypothetical protein
GNBELFNB_00219	CDS	2814				hypothetical protein
GNBELFNB_00220	CDS	1095				hypothetical protein
GNBELFNB_00221	CDS	792				hypothetical protein
GNBELFNB_00222	CDS	702				hypothetical protein
GNBELFNB_00223	CDS	702				hypothetical protein
GNBELFNB_00224	CDS	666	rluA_2	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
GNBELFNB_00225	CDS	375				hypothetical protein
GNBELFNB_00226	CDS	381				hypothetical protein
GNBELFNB_00227	CDS	2091	cntO_3			Metal-pseudopaline receptor CntO
GNBELFNB_00228	CDS	1146				hypothetical protein
GNBELFNB_00229	CDS	468	lrp_2		COG1522	Leucine-responsive regulatory protein
GNBELFNB_00230	CDS	1266	dadA1_2	1.4.99.-	COG0665	D-amino acid dehydrogenase 1
GNBELFNB_00231	CDS	1104	dadX_2	5.1.1.1	COG0787	Alanine racemase, catabolic
GNBELFNB_00232	CDS	360	rutC_2	1.-.-.-		Putative aminoacrylate peracid reductase RutC
GNBELFNB_00233	CDS	1440	cycA_3		COG1113	D-serine/D-alanine/glycine transporter
GNBELFNB_00234	CDS	1431	cycA_4		COG1113	D-serine/D-alanine/glycine transporter
GNBELFNB_00235	CDS	882	hdfR_2			HTH-type transcriptional regulator HdfR
GNBELFNB_00236	CDS	1518	mmsA_2	1.2.1.27	COG1012	Methylmalonate-semialdehyde dehydrogenase [acylating]
GNBELFNB_00237	CDS	891	mmsB_2	1.1.1.31	COG2084	3-hydroxyisobutyrate dehydrogenase
GNBELFNB_00238	CDS	1650	acsA_2	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
GNBELFNB_00239	CDS	1128	mmgC_2	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
GNBELFNB_00240	CDS	774	echA8_2	4.2.1.17	COG1024	putative enoyl-CoA hydratase echA8
GNBELFNB_00241	CDS	1026	fadJ_3	5.1.2.3		Fatty acid oxidation complex subunit alpha
GNBELFNB_00242	CDS	705	abaF_2			Fosfomycin resistance protein AbaF
GNBELFNB_00243	tRNA	76				tRNA-Gly(gcc)
GNBELFNB_00244	tRNA	76				tRNA-Gly(gcc)
GNBELFNB_00245	CDS	309	bolA_2		COG0271	DNA-binding transcriptional regulator BolA
GNBELFNB_00246	CDS	393				hypothetical protein
GNBELFNB_00247	CDS	843	parA_2			Chromosome partitioning protein ParA
GNBELFNB_00248	CDS	387				hypothetical protein
GNBELFNB_00249	CDS	591				hypothetical protein
GNBELFNB_00250	CDS	642	dedA_2		COG0586	Protein DedA
GNBELFNB_00251	CDS	438	yqjF_2		COG2259	Inner membrane protein YqjF
GNBELFNB_00252	CDS	1230				hypothetical protein
GNBELFNB_00253	CDS	1569	guaA_2	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
GNBELFNB_00254	CDS	789	ant1_2	2.7.7.47		Streptomycin 3''-adenylyltransferase
GNBELFNB_00255	CDS	528	yqjI_2		COG1695	Transcriptional regulator YqjI
GNBELFNB_00256	CDS	306				hypothetical protein
GNBELFNB_00257	CDS	948				hypothetical protein
GNBELFNB_00258	CDS	408				hypothetical protein
GNBELFNB_00259	CDS	669				hypothetical protein
GNBELFNB_00260	CDS	624	ftsN_2			Cell division protein FtsN
GNBELFNB_00261	CDS	1791	argS_2	6.1.1.19		Arginine--tRNA ligase
GNBELFNB_00262	CDS	1854	edd_1	4.2.1.12	COG0129	Phosphogluconate dehydratase
GNBELFNB_00263	CDS	621	eda_1			KHG/KDPG aldolase
GNBELFNB_00264	CDS	1359	gntT_1		COG2610	High-affinity gluconate transporter
GNBELFNB_00265	CDS	513	gntK_1	2.7.1.12	COG3265	Thermoresistant gluconokinase
GNBELFNB_00266	CDS	1629	gapN_1	1.2.1.9	COG1012	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase
GNBELFNB_00267	CDS	1266	proA_1	1.2.1.41		Gamma-glutamyl phosphate reductase
GNBELFNB_00268	CDS	1314	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
GNBELFNB_00269	CDS	843				hypothetical protein
GNBELFNB_00270	CDS	1020	nagZ_1	3.2.1.52	COG1472	Beta-hexosaminidase
GNBELFNB_00271	CDS	2184	prc_1	3.4.21.102	COG0793	Tail-specific protease
GNBELFNB_00272	CDS	1287	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
GNBELFNB_00273	CDS	552				hypothetical protein
GNBELFNB_00274	CDS	201	iscX_1		COG2975	Protein IscX
GNBELFNB_00275	CDS	432	ndk_1	2.7.4.6		Nucleoside diphosphate kinase
GNBELFNB_00276	CDS	1233	rlmN_1	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
GNBELFNB_00277	CDS	801	lapB_1			Lipopolysaccharide assembly protein B
GNBELFNB_00278	CDS	792	rodZ_1			Cytoskeleton protein RodZ
GNBELFNB_00279	CDS	1116	ispG_1	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
GNBELFNB_00280	CDS	1293	hisS_1	6.1.1.21		Histidine--tRNA ligase
GNBELFNB_00281	CDS	699				hypothetical protein
GNBELFNB_00282	CDS	1146	bamB_1		COG1520	Outer membrane protein assembly factor BamB
GNBELFNB_00283	CDS	1410	der_1		COG1160	GTPase Der
GNBELFNB_00284	CDS	657				hypothetical protein
GNBELFNB_00285	CDS	459	secB_1		COG1952	Protein-export protein SecB
GNBELFNB_00286	CDS	258	grxC_1		COG0695	Glutaredoxin 3
GNBELFNB_00287	CDS	417	yibN_1		COG0607	putative protein YibN
GNBELFNB_00288	CDS	1059	rsgA_1	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
GNBELFNB_00289	CDS	567	orn_1	3.1.-.-	COG1949	Oligoribonuclease
GNBELFNB_00290	CDS	732				hypothetical protein
GNBELFNB_00291	CDS	804	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
GNBELFNB_00292	CDS	1407	tdeA_1		COG1538	Toxin and drug export protein A
GNBELFNB_00293	CDS	1995	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
GNBELFNB_00294	CDS	1338	macA_1		COG0845	Macrolide export protein MacA
GNBELFNB_00295	CDS	990	holA_1	2.7.7.7	COG1466	DNA polymerase III subunit delta
GNBELFNB_00296	CDS	510	lptE_1			LPS-assembly lipoprotein LptE
GNBELFNB_00297	CDS	2625	leuS_1	6.1.1.4		Leucine--tRNA ligase
GNBELFNB_00298	CDS	231				hypothetical protein
GNBELFNB_00299	CDS	231				hypothetical protein
GNBELFNB_00300	CDS	2625	leuS_2	6.1.1.4		Leucine--tRNA ligase
GNBELFNB_00301	CDS	510	lptE_2			LPS-assembly lipoprotein LptE
GNBELFNB_00302	CDS	990	holA_2	2.7.7.7	COG1466	DNA polymerase III subunit delta
GNBELFNB_00303	CDS	1338	macA_2		COG0845	Macrolide export protein MacA
GNBELFNB_00304	CDS	1995	macB_2	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
GNBELFNB_00305	CDS	1407	tdeA_2		COG1538	Toxin and drug export protein A
GNBELFNB_00306	CDS	804	fabI_2	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
GNBELFNB_00307	CDS	732				hypothetical protein
GNBELFNB_00308	CDS	567	orn_2	3.1.-.-	COG1949	Oligoribonuclease
GNBELFNB_00309	CDS	1059	rsgA_2	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
GNBELFNB_00310	CDS	417	yibN_2		COG0607	putative protein YibN
GNBELFNB_00311	CDS	258	grxC_2		COG0695	Glutaredoxin 3
GNBELFNB_00312	CDS	459	secB_2		COG1952	Protein-export protein SecB
GNBELFNB_00313	CDS	657				hypothetical protein
GNBELFNB_00314	CDS	1410	der_2		COG1160	GTPase Der
GNBELFNB_00315	CDS	1146	bamB_2		COG1520	Outer membrane protein assembly factor BamB
GNBELFNB_00316	CDS	699				hypothetical protein
GNBELFNB_00317	CDS	1293	hisS_2	6.1.1.21		Histidine--tRNA ligase
GNBELFNB_00318	CDS	1116	ispG_2	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
GNBELFNB_00319	CDS	792	rodZ_2			Cytoskeleton protein RodZ
GNBELFNB_00320	CDS	801	lapB_2			Lipopolysaccharide assembly protein B
GNBELFNB_00321	CDS	1233	rlmN_2	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
GNBELFNB_00322	CDS	432	ndk_2	2.7.4.6		Nucleoside diphosphate kinase
GNBELFNB_00323	CDS	201	iscX_2		COG2975	Protein IscX
GNBELFNB_00324	CDS	552				hypothetical protein
GNBELFNB_00325	CDS	1287	mshA_4	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
GNBELFNB_00326	CDS	2184	prc_2	3.4.21.102	COG0793	Tail-specific protease
GNBELFNB_00327	CDS	1020	nagZ_2	3.2.1.52	COG1472	Beta-hexosaminidase
GNBELFNB_00328	CDS	843				hypothetical protein
GNBELFNB_00329	CDS	1314	menH_2	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
GNBELFNB_00330	CDS	1266	proA_2	1.2.1.41		Gamma-glutamyl phosphate reductase
GNBELFNB_00331	CDS	1629	gapN_2	1.2.1.9	COG1012	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase
GNBELFNB_00332	CDS	513	gntK_2	2.7.1.12	COG3265	Thermoresistant gluconokinase
GNBELFNB_00333	CDS	1359	gntT_2		COG2610	High-affinity gluconate transporter
GNBELFNB_00334	CDS	621	eda_2			KHG/KDPG aldolase
GNBELFNB_00335	CDS	1854	edd_2	4.2.1.12	COG0129	Phosphogluconate dehydratase
GNBELFNB_00336	CDS	900				hypothetical protein
GNBELFNB_00337	CDS	969				hypothetical protein
GNBELFNB_00338	CDS	561				hypothetical protein
GNBELFNB_00339	CDS	825	nit1	3.5.1.128		Deaminated glutathione amidase
GNBELFNB_00340	CDS	378				hypothetical protein
GNBELFNB_00341	CDS	438	ohrR_1			Organic hydroperoxide resistance transcriptional regulator
GNBELFNB_00342	CDS	432	ohrB		COG1764	Organic hydroperoxide resistance protein OhrB
GNBELFNB_00343	CDS	1491	epsE		COG2804	Type II secretion system protein E
GNBELFNB_00344	CDS	822				hypothetical protein
GNBELFNB_00345	CDS	918	mscS		COG0668	Small-conductance mechanosensitive channel
GNBELFNB_00346	CDS	2808				hypothetical protein
GNBELFNB_00347	CDS	2772	polA	2.7.7.7	COG0258	DNA polymerase I
GNBELFNB_00348	CDS	570				hypothetical protein
GNBELFNB_00349	CDS	831	proC_1	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
GNBELFNB_00350	CDS	1284	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
