locus_tag	ftype	length_bp	gene	EC_number	COG	product
KOOEHCHE_00041	CDS	2166	pilQ_1			Type IV pilus biogenesis and competence protein PilQ
KOOEHCHE_00042	CDS	528				hypothetical protein
KOOEHCHE_00043	CDS	741				hypothetical protein
KOOEHCHE_00044	CDS	642				hypothetical protein
KOOEHCHE_00045	CDS	1059	ftsA_1			Cell division protein FtsA
KOOEHCHE_00046	CDS	2556	mrcA_1		COG5009	Penicillin-binding protein 1A
KOOEHCHE_00047	CDS	825	rlmA_1	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
KOOEHCHE_00048	CDS	333				hypothetical protein
KOOEHCHE_00049	CDS	1119	mraY_1	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
KOOEHCHE_00050	CDS	1401	murF_1	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
KOOEHCHE_00051	CDS	1500	murE_1	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
KOOEHCHE_00052	CDS	1833	ftsI_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
KOOEHCHE_00053	CDS	333	ftsL_1			Cell division protein FtsL
KOOEHCHE_00054	CDS	924	rsmH_1	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
KOOEHCHE_00055	CDS	966	sbp_1		COG1613	Sulfate-binding protein
KOOEHCHE_00056	CDS	966	sbp_2		COG1613	Sulfate-binding protein
KOOEHCHE_00057	CDS	924	rsmH_2	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
KOOEHCHE_00058	CDS	333	ftsL_2			Cell division protein FtsL
KOOEHCHE_00059	CDS	1833	ftsI_2	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
KOOEHCHE_00060	CDS	1500	murE_2	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
KOOEHCHE_00061	CDS	1401	murF_2	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
KOOEHCHE_00062	CDS	1119	mraY_2	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
KOOEHCHE_00063	CDS	333				hypothetical protein
KOOEHCHE_00064	CDS	825	rlmA_2	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
KOOEHCHE_00065	CDS	2556	mrcA_2		COG5009	Penicillin-binding protein 1A
KOOEHCHE_00066	CDS	1059	ftsA_2			Cell division protein FtsA
KOOEHCHE_00067	CDS	642				hypothetical protein
KOOEHCHE_00068	CDS	741				hypothetical protein
KOOEHCHE_00069	CDS	528				hypothetical protein
KOOEHCHE_00070	CDS	2166	pilQ_2			Type IV pilus biogenesis and competence protein PilQ
KOOEHCHE_00071	CDS	570	aroK_2	2.7.1.71	COG0703	Shikimate kinase 1
KOOEHCHE_00072	CDS	1083	aroB_2	4.2.3.4	COG0337	3-dehydroquinate synthase
KOOEHCHE_00073	CDS	876				hypothetical protein
KOOEHCHE_00074	CDS	4482	gltB_2	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
KOOEHCHE_00075	CDS	1422	gltD_2	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
KOOEHCHE_00076	CDS	888				hypothetical protein
KOOEHCHE_00077	CDS	591	lemA_2		COG1704	Protein LemA
KOOEHCHE_00078	CDS	1083				hypothetical protein
KOOEHCHE_00079	CDS	561				hypothetical protein
KOOEHCHE_00080	CDS	435	pilA_2		COG4969	Fimbrial protein
KOOEHCHE_00081	CDS	1311				hypothetical protein
KOOEHCHE_00082	CDS	1629				hypothetical protein
KOOEHCHE_00083	CDS	465	bfr_2	1.16.3.1	COG2193	Bacterioferritin
KOOEHCHE_00084	CDS	195	bfd_2		COG2906	Bacterioferritin-associated ferredoxin
KOOEHCHE_00085	CDS	384	yabJ_2	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
KOOEHCHE_00086	CDS	2106	spoT_2		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
KOOEHCHE_00087	CDS	279	rpoZ_2	2.7.7.6		DNA-directed RNA polymerase subunit omega
KOOEHCHE_00088	CDS	630	gmk_2	2.7.4.8	COG0194	Guanylate kinase
KOOEHCHE_00089	CDS	951	ispH_2	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
KOOEHCHE_00090	CDS	474				hypothetical protein
KOOEHCHE_00091	CDS	555				hypothetical protein
KOOEHCHE_00092	CDS	1002				hypothetical protein
KOOEHCHE_00093	CDS	819				hypothetical protein
KOOEHCHE_00094	CDS	3867				hypothetical protein
KOOEHCHE_00095	CDS	483				hypothetical protein
KOOEHCHE_00096	CDS	426				hypothetical protein
KOOEHCHE_00097	CDS	252	rpsP_2		COG0228	30S ribosomal protein S16
KOOEHCHE_00098	CDS	549	rimM_2		COG0806	Ribosome maturation factor RimM
KOOEHCHE_00099	CDS	741	trmD_2	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
KOOEHCHE_00100	CDS	369	rplS_2		COG0335	50S ribosomal protein L19
KOOEHCHE_00101	CDS	975	lip_2	3.1.1.3	COG1075	Triacylglycerol lipase
KOOEHCHE_00102	CDS	1035	lifO_2		COG5380	Lipase chaperone
KOOEHCHE_00103	CDS	906	truB_2	5.4.99.25	COG0130	tRNA pseudouridine synthase B
KOOEHCHE_00104	CDS	777	yfcA_2		COG0730	putative membrane transporter protein YfcA
KOOEHCHE_00105	CDS	444				hypothetical protein
KOOEHCHE_00106	CDS	861	rhtA_3		COG5006	Threonine/homoserine exporter RhtA
KOOEHCHE_00107	CDS	885	rhtA_4		COG5006	Threonine/homoserine exporter RhtA
KOOEHCHE_00108	CDS	1233	serA_2	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
KOOEHCHE_00109	CDS	1410		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
KOOEHCHE_00110	CDS	531				hypothetical protein
KOOEHCHE_00111	CDS	828				hypothetical protein
KOOEHCHE_00112	CDS	531				hypothetical protein
KOOEHCHE_00113	CDS	1809	uvrC		COG0322	UvrABC system protein C
KOOEHCHE_00114	CDS	795				hypothetical protein
KOOEHCHE_00115	CDS	588	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
KOOEHCHE_00116	CDS	855	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
KOOEHCHE_00117	CDS	612				hypothetical protein
KOOEHCHE_00118	CDS	774				hypothetical protein
KOOEHCHE_00119	CDS	2100	aaeB		COG1289	p-hydroxybenzoic acid efflux pump subunit AaeB
KOOEHCHE_00120	CDS	207				hypothetical protein
KOOEHCHE_00121	CDS	1002	aaeA		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
KOOEHCHE_00122	CDS	441	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
KOOEHCHE_00123	CDS	555				hypothetical protein
KOOEHCHE_00124	CDS	1668	recN		COG0497	DNA repair protein RecN
KOOEHCHE_00125	CDS	1272				hypothetical protein
KOOEHCHE_00126	CDS	327	ppnP	2.4.2.2	COG3123	Pyrimidine/purine nucleoside phosphorylase
KOOEHCHE_00127	CDS	750	rlmB_1	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
KOOEHCHE_00128	CDS	915				hypothetical protein
KOOEHCHE_00129	CDS	597	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
KOOEHCHE_00130	CDS	861	outO			Type 4 prepilin-like proteins leader peptide-processing enzyme
KOOEHCHE_00131	CDS	1227	epsF_1		COG1459	Type II secretion system protein F
KOOEHCHE_00132	CDS	1713				hypothetical protein
KOOEHCHE_00133	CDS	795	tpiA	5.3.1.1		Triosephosphate isomerase
KOOEHCHE_00134	CDS	330	secG		COG1314	Protein-export membrane protein SecG
KOOEHCHE_00135	tRNA	85				tRNA-Leu(gag)
KOOEHCHE_00136	tRNA	77				tRNA-Met(cat)
KOOEHCHE_00137	tRNA	77				tRNA-Met(cat)
KOOEHCHE_00138	CDS	525	rimP		COG0779	Ribosome maturation factor RimP
KOOEHCHE_00139	CDS	1485	nusA		COG0195	Transcription termination/antitermination protein NusA
KOOEHCHE_00140	CDS	2700	infB		COG0532	Translation initiation factor IF-2
KOOEHCHE_00141	CDS	402	rbfA		COG0858	30S ribosome-binding factor
KOOEHCHE_00142	CDS	405	mrpG		COG1320	Na(+)/H(+) antiporter subunit G
KOOEHCHE_00143	CDS	276	mrpF		COG2212	Na(+)/H(+) antiporter subunit F
KOOEHCHE_00144	CDS	528	mnhE1		COG1863	Na(+)/H(+) antiporter subunit E1
KOOEHCHE_00145	CDS	1812	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
KOOEHCHE_00146	CDS	369	mnhC1		COG1006	Na(+)/H(+) antiporter subunit C1
KOOEHCHE_00147	CDS	2838	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
KOOEHCHE_00148	CDS	1383				hypothetical protein
KOOEHCHE_00149	CDS	1503	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
KOOEHCHE_00150	CDS	774	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
KOOEHCHE_00151	CDS	753				hypothetical protein
KOOEHCHE_00152	CDS	438				hypothetical protein
KOOEHCHE_00153	CDS	1620	ubiB_1	2.7.-.-	COG0661	putative protein kinase UbiB
KOOEHCHE_00154	CDS	669	ubiJ			Ubiquinone biosynthesis accessory factor UbiJ
KOOEHCHE_00155	CDS	948	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
KOOEHCHE_00156	CDS	708				hypothetical protein
KOOEHCHE_00157	CDS	1419	pap	2.7.4.-	COG2326	Polyphosphate:AMP phosphotransferase
KOOEHCHE_00158	CDS	507				hypothetical protein
KOOEHCHE_00159	CDS	3636	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
KOOEHCHE_00160	CDS	3699	recB	3.1.11.5		RecBCD enzyme subunit RecB
KOOEHCHE_00161	CDS	1764	recD	3.1.11.5		RecBCD enzyme subunit RecD
KOOEHCHE_00162	CDS	1299	amiE	3.5.1.28		N-acetylmuramyl-L-alanine amidase
KOOEHCHE_00163	CDS	270	rpsO		COG0184	30S ribosomal protein S15
KOOEHCHE_00164	CDS	2094	pnp	2.7.7.8		Polyribonucleotide nucleotidyltransferase
KOOEHCHE_00165	CDS	1212				hypothetical protein
KOOEHCHE_00166	CDS	330	cbpM			Chaperone modulatory protein CbpM
KOOEHCHE_00167	CDS	957	cbpA		COG2214	Curved DNA-binding protein
KOOEHCHE_00168	CDS	612	leuE_1		COG1280	Leucine efflux protein
KOOEHCHE_00169	CDS	876	hslO		COG1281	33 kDa chaperonin
KOOEHCHE_00170	CDS	1842	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
KOOEHCHE_00171	CDS	2229	priA	3.6.4.-	COG1198	Primosomal protein N'
KOOEHCHE_00172	CDS	1206	epsF_2		COG1459	Type II secretion system protein F
KOOEHCHE_00173	CDS	582				hypothetical protein
KOOEHCHE_00174	CDS	345				hypothetical protein
KOOEHCHE_00175	CDS	339	csaA		COG0073	putative chaperone CsaA
KOOEHCHE_00176	CDS	1560	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
KOOEHCHE_00177	CDS	840	corC		COG4535	Magnesium and cobalt efflux protein CorC
KOOEHCHE_00178	CDS	258	tusA_1		COG0425	Sulfur carrier protein TusA
KOOEHCHE_00179	CDS	1713		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
KOOEHCHE_00180	CDS	612				hypothetical protein
KOOEHCHE_00181	CDS	867	murI	5.1.1.3		Glutamate racemase
KOOEHCHE_00182	CDS	1005				hypothetical protein
KOOEHCHE_00183	CDS	1017	hemH	4.99.1.1	COG0276	Ferrochelatase
KOOEHCHE_00184	CDS	645	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
KOOEHCHE_00185	CDS	195	yacG			DNA gyrase inhibitor YacG
KOOEHCHE_00186	CDS	633	trmB_1	2.1.1.33		tRNA (guanine-N(7)-)-methyltransferase
KOOEHCHE_00187	CDS	1206	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
KOOEHCHE_00188	CDS	411				hypothetical protein
KOOEHCHE_00189	CDS	381	crcB		COG0239	Putative fluoride ion transporter CrcB
KOOEHCHE_00190	CDS	333				hypothetical protein
KOOEHCHE_00191	CDS	255	rpmE2		COG0254	50S ribosomal protein L31 type B
KOOEHCHE_00192	CDS	1299	ubiB_2	2.7.-.-		protein kinase UbiB
KOOEHCHE_00193	CDS	1248	sfnC_1	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
KOOEHCHE_00194	CDS	1251	sfnC_2	1.14.14.-		putative FMNH2-dependent monooxygenase SfnC
KOOEHCHE_00195	CDS	1347	norM_1		COG0534	Multidrug resistance protein NorM
KOOEHCHE_00196	CDS	462				hypothetical protein
KOOEHCHE_00197	CDS	1155	hemW		COG0635	Heme chaperone HemW
KOOEHCHE_00198	CDS	756	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
KOOEHCHE_00199	CDS	897	pgrR_1			HTH-type transcriptional regulator PgrR
KOOEHCHE_00200	tRNA	76				tRNA-Lys(ttt)
KOOEHCHE_00201	tRNA	76				tRNA-Lys(ttt)
KOOEHCHE_00202	CDS	1842		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD17
KOOEHCHE_00203	CDS	3333	rne	3.1.26.12		Ribonuclease E
KOOEHCHE_00204	CDS	933	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
KOOEHCHE_00205	CDS	675		3.1.3.5	COG0546	5'-nucleotidase
KOOEHCHE_00206	CDS	696				hypothetical protein
KOOEHCHE_00207	CDS	606				hypothetical protein
KOOEHCHE_00208	CDS	678				hypothetical protein
KOOEHCHE_00209	CDS	594	hcaR_1			Hca operon transcriptional activator HcaR
KOOEHCHE_00210	CDS	270	hcaR_2			Hca operon transcriptional activator HcaR
KOOEHCHE_00211	CDS	234				hypothetical protein
KOOEHCHE_00212	CDS	1398	gabP_1		COG1113	GABA permease
KOOEHCHE_00213	CDS	1569	bauC_1	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
KOOEHCHE_00214	CDS	1377	bauA_1	2.6.1.18	COG0161	Beta-alanine--pyruvate aminotransferase
KOOEHCHE_00215	CDS	918	hdfR_1			HTH-type transcriptional regulator HdfR
KOOEHCHE_00216	CDS	660				hypothetical protein
KOOEHCHE_00217	CDS	909				hypothetical protein
KOOEHCHE_00218	CDS	324				hypothetical protein
KOOEHCHE_00219	CDS	555				hypothetical protein
KOOEHCHE_00220	CDS	1143				hypothetical protein
KOOEHCHE_00221	CDS	450				hypothetical protein
KOOEHCHE_00222	CDS	11172				hypothetical protein
KOOEHCHE_00223	CDS	1758	shlB_1			Hemolysin transporter protein ShlB
KOOEHCHE_00224	tRNA	74				tRNA-Trp(cca)
KOOEHCHE_00225	tRNA	85				tRNA-Leu(tag)
KOOEHCHE_00226	tRNA	74				tRNA-Trp(cca)
KOOEHCHE_00227	tRNA	85				tRNA-Leu(tag)
KOOEHCHE_00228	CDS	804	pknD	2.7.11.1		Serine/threonine-protein kinase PknD
KOOEHCHE_00229	CDS	1509				hypothetical protein
KOOEHCHE_00230	CDS	882				hypothetical protein
KOOEHCHE_00231	CDS	1104				hypothetical protein
KOOEHCHE_00232	CDS	1011	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
KOOEHCHE_00233	CDS	216	rpsU		COG0828	30S ribosomal protein S21
KOOEHCHE_00234	CDS	447	yqeY		COG1610	putative protein YqeY
KOOEHCHE_00235	CDS	1479	bepA_1	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
KOOEHCHE_00236	CDS	966	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
KOOEHCHE_00237	CDS	657				hypothetical protein
KOOEHCHE_00238	CDS	1890	htpX_1	3.4.24.-		Protease HtpX
KOOEHCHE_00239	CDS	1542	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
KOOEHCHE_00240	CDS	588				hypothetical protein
KOOEHCHE_00241	CDS	1005	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
KOOEHCHE_00242	CDS	480				hypothetical protein
KOOEHCHE_00243	CDS	1140				hypothetical protein
KOOEHCHE_00244	CDS	456				hypothetical protein
KOOEHCHE_00245	CDS	1074	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
KOOEHCHE_00246	CDS	576	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
KOOEHCHE_00247	CDS	381				hypothetical protein
KOOEHCHE_00248	CDS	1152	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
KOOEHCHE_00249	CDS	213	cspG		COG1278	Cold shock-like protein CspG
KOOEHCHE_00250	CDS	246	tusA_2			Sulfur carrier protein TusA
KOOEHCHE_00251	CDS	867	rpoH		COG0568	RNA polymerase sigma factor RpoH
KOOEHCHE_00252	CDS	366				hypothetical protein
KOOEHCHE_00253	CDS	198				hypothetical protein
KOOEHCHE_00254	CDS	786	thiG_1	2.8.1.10	COG2022	Thiazole synthase
KOOEHCHE_00255	CDS	624				hypothetical protein
KOOEHCHE_00256	CDS	774	yaaA		COG3022	Peroxide stress resistance protein YaaA
KOOEHCHE_00257	CDS	633				hypothetical protein
KOOEHCHE_00258	CDS	957	rbn	3.1.-.-	COG1234	Ribonuclease BN
KOOEHCHE_00259	CDS	1461	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
KOOEHCHE_00260	CDS	384				hypothetical protein
KOOEHCHE_00261	CDS	2271	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
KOOEHCHE_00262	CDS	1110	pheA			Bifunctional chorismate mutase/prephenate dehydratase
KOOEHCHE_00263	CDS	945				hypothetical protein
KOOEHCHE_00264	CDS	1146	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
KOOEHCHE_00265	CDS	1359	dctA_1		COG1301	Aerobic C4-dicarboxylate transport protein
KOOEHCHE_00266	CDS	1014	trpD_1	2.4.2.18		Anthranilate phosphoribosyltransferase
KOOEHCHE_00267	CDS	273				hypothetical protein
KOOEHCHE_00268	CDS	909	nadK	2.7.1.23	COG0061	NAD kinase
KOOEHCHE_00269	CDS	2397	mrcB		COG0744	Penicillin-binding protein 1B
KOOEHCHE_00270	CDS	552				hypothetical protein
KOOEHCHE_00271	CDS	900	thiE_1	2.5.1.3		Thiamine-phosphate synthase
KOOEHCHE_00272	CDS	171				hypothetical protein
KOOEHCHE_00273	CDS	1359	qseC_1	2.7.13.3		Sensor protein QseC
KOOEHCHE_00274	CDS	663	qseB_1			Transcriptional regulatory protein QseB
KOOEHCHE_00275	CDS	360				hypothetical protein
KOOEHCHE_00276	CDS	1758				hypothetical protein
KOOEHCHE_00277	CDS	1269				hypothetical protein
KOOEHCHE_00278	CDS	729	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
KOOEHCHE_00279	CDS	780	fpr_1	1.18.1.2	COG1018	Ferredoxin--NADP reductase
KOOEHCHE_00280	CDS	870	yddE_1	5.1.-.-	COG0384	putative isomerase YddE
KOOEHCHE_00281	CDS	1461	norG_1		COG1167	HTH-type transcriptional regulator NorG
KOOEHCHE_00282	CDS	1371	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
KOOEHCHE_00283	CDS	264			COG1145	putative ferredoxin-like protein
KOOEHCHE_00284	CDS	330	emrE		COG2076	Multidrug transporter EmrE
KOOEHCHE_00285	CDS	777	hisP		COG4598	Histidine transport ATP-binding protein HisP
KOOEHCHE_00286	CDS	714	hisM		COG4160	Histidine transport system permease protein HisM
KOOEHCHE_00287	CDS	690	hisQ		COG4215	Histidine transport system permease protein HisQ
KOOEHCHE_00288	CDS	786	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
KOOEHCHE_00289	CDS	414				hypothetical protein
KOOEHCHE_00290	CDS	633	dmlR_1			HTH-type transcriptional regulator DmlR
KOOEHCHE_00291	CDS	174				hypothetical protein
KOOEHCHE_00292	CDS	186				hypothetical protein
KOOEHCHE_00293	CDS	639	bepF			Efflux pump periplasmic linker BepF
KOOEHCHE_00294	CDS	3180	oqxB9			multidrug efflux RND transporter permease subunit OqxB9
KOOEHCHE_00295	CDS	1449	arpC_1		COG1538	Antibiotic efflux pump outer membrane protein ArpC
KOOEHCHE_00296	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
KOOEHCHE_00297	CDS	1236				hypothetical protein
KOOEHCHE_00298	CDS	687				hypothetical protein
KOOEHCHE_00299	CDS	633				hypothetical protein
KOOEHCHE_00300	tRNA	77				tRNA-Arg(ccg)
KOOEHCHE_00301	CDS	159				hypothetical protein
KOOEHCHE_00302	CDS	522				hypothetical protein
KOOEHCHE_00303	CDS	546				hypothetical protein
KOOEHCHE_00304	CDS	390				hypothetical protein
KOOEHCHE_00305	CDS	1935				hypothetical protein
KOOEHCHE_00306	CDS	609				hypothetical protein
KOOEHCHE_00307	CDS	309				hypothetical protein
KOOEHCHE_00308	CDS	1005	RBKS	2.7.1.15		Ribokinase
KOOEHCHE_00309	CDS	2097	cntO_1		COG1629	Metal-pseudopaline receptor CntO
KOOEHCHE_00310	CDS	2940				hypothetical protein
KOOEHCHE_00311	CDS	1152		3.1.1.32	COG2829	Putative phospholipase A1
KOOEHCHE_00312	CDS	1338	ktrB		COG0168	Ktr system potassium uptake protein B
KOOEHCHE_00313	CDS	651	ktrA		COG0569	Ktr system potassium uptake protein A
KOOEHCHE_00314	CDS	1542	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
KOOEHCHE_00315	CDS	672	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
KOOEHCHE_00316	CDS	681				hypothetical protein
KOOEHCHE_00317	CDS	1521				hypothetical protein
KOOEHCHE_00318	CDS	1050	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
KOOEHCHE_00319	CDS	753				hypothetical protein
KOOEHCHE_00320	CDS	414	clpS			ATP-dependent Clp protease adapter protein ClpS
KOOEHCHE_00321	CDS	2277	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
KOOEHCHE_00322	CDS	363				hypothetical protein
KOOEHCHE_00323	CDS	1056	aroF_1	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
KOOEHCHE_00324	CDS	918	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
KOOEHCHE_00325	CDS	561				hypothetical protein
KOOEHCHE_00326	CDS	2025	fadH_1	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase
KOOEHCHE_00327	CDS	408				hypothetical protein
KOOEHCHE_00328	CDS	717				hypothetical protein
KOOEHCHE_00329	CDS	1095				hypothetical protein
KOOEHCHE_00330	CDS	846				hypothetical protein
KOOEHCHE_00331	CDS	489				hypothetical protein
KOOEHCHE_00332	CDS	1638	pyrG	6.3.4.2	COG0504	CTP synthase
KOOEHCHE_00333	CDS	858	kdsA	2.5.1.55		2-dehydro-3-deoxyphosphooctonate aldolase
KOOEHCHE_00334	CDS	1290	eno	4.2.1.11		Enolase
KOOEHCHE_00335	CDS	678				hypothetical protein
KOOEHCHE_00336	CDS	390	ftsB			Cell division protein FtsB
KOOEHCHE_00337	CDS	717	ispD	2.7.7.60		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
KOOEHCHE_00338	CDS	672	pcaI_1	2.8.3.6	COG1788	3-oxoadipate CoA-transferase subunit A
KOOEHCHE_00339	CDS	654	pcaJ_1	2.8.3.6	COG2057	3-oxoadipate CoA-transferase subunit B
KOOEHCHE_00340	CDS	1221	pcaF_1	2.3.1.174	COG0183	Beta-ketoadipyl-CoA thiolase
