"qname","qid","qstart","qend","genome","strand","length","start","end","gene_label","is_center"
"ERR1417333",62,1342,50485,"ERR1417333","forward",49143,1342,50485,"gene_62",FALSE
"ERR1417333",63,1343,51300,"ERR1417333","forward",49957,1343,51300,"gene_63",FALSE
"ERR1417331",64,635,73660,"ERR1417331","forward",73025,635,73660,"gene_64",FALSE
"ERR1417333",65,1345,53551,"ERR1417333","forward",52206,1345,53551,"gene_65",FALSE
"ERR1417333",66,1346,54842,"ERR1417333","forward",53496,1346,54842,"gene_66",FALSE
"ERR1417333",67,1347,56818,"ERR1417333","forward",55471,1347,56818,"gene_67",FALSE
"ERR1417333",68,1348,57122,"ERR1417333","forward",55774,1348,57122,"gene_68",FALSE
"ERR1417333",69,1349,57852,"ERR1417333","forward",56503,1349,57852,"gene_69",FALSE
"ERR1417333",70,1350,58976,"ERR1417333","forward",57626,1350,58976,"gene_70",FALSE
"ERR1417333",71,1351,61667,"ERR1417333","forward",60316,1351,61667,"gene_71",FALSE
"ERR1417326",72,724,62336,"ERR1417326","forward",61612,724,62336,"gene_72",FALSE
"ERR1417326",73,725,64887,"ERR1417326","forward",64162,725,64887,"gene_73",FALSE
"ERR1946999",1,25818,25291,"ERR1946999","reverse",527,25291,25818,"gene_1",TRUE
"ERR1946999",2,26070,25921,"ERR1946999","reverse",149,25921,26070,"gene_2",FALSE
"ERR1946999",3,27358,26033,"ERR1946999","reverse",1325,26033,27358,"gene_3",FALSE
"ERR1946999",4,28470,27415,"ERR1946999","reverse",1055,27415,28470,"gene_4",FALSE
"ERR1946999",5,29922,28762,"ERR1946999","reverse",1160,28762,29922,"gene_5",FALSE
"ERR1946999",6,30309,29944,"ERR1946999","reverse",365,29944,30309,"gene_6",FALSE
"ERR1946999",7,31454,30498,"ERR1946999","reverse",956,30498,31454,"gene_7",FALSE
"ERR1946999",8,32369,31773,"ERR1946999","reverse",596,31773,32369,"gene_8",FALSE
"ERR1946999",9,32505,33755,"ERR1946999","forward",1250,32505,33755,"gene_9",FALSE
"ERR1946999",10,32505,33755,"ERR1946999","forward",1250,32505,33755,"gene_10",FALSE
"ERR1946999",1,55344,55039,"ERR1946999","reverse",305,55039,55344,"gene_1",TRUE
"ERR1946999",2,55049,54660,"ERR1946999","reverse",389,54660,55049,"gene_2",FALSE
"ERR1946999",3,54630,53779,"ERR1946999","reverse",851,53779,54630,"gene_3",FALSE
"ERR1946999",4,53763,52576,"ERR1946999","reverse",1187,52576,53763,"gene_4",FALSE
"ERR1946999",5,52539,51334,"ERR1946999","reverse",1205,51334,52539,"gene_5",FALSE
"ERR1946999",6,52539,51334,"ERR1946999","reverse",1205,51334,52539,"gene_6",FALSE
"ERR1946999",1,79418,77325,"ERR1946999","reverse",2093,77325,79418,"gene_1",TRUE
"ERR1946999",2,77199,76756,"ERR1946999","reverse",443,76756,77199,"gene_2",FALSE
"ERR1946999",3,75259,76701,"ERR1946999","forward",1442,75259,76701,"gene_3",FALSE
"ERR1946999",1,90337,91227,"ERR1946999","forward",890,90337,91227,"gene_1",TRUE
"ERR1946999",2,89156,90322,"ERR1946999","forward",1166,89156,90322,"gene_2",FALSE
"ERR1946999",3,87575,89008,"ERR1946999","forward",1433,87575,89008,"gene_3",FALSE
"ERR1946999",4,86316,87512,"ERR1946999","forward",1196,86316,87512,"gene_4",FALSE
"ERR1946999",5,83476,86316,"ERR1946999","forward",2840,83476,86316,"gene_5",FALSE
"ERR1946999",1,41382,40798,"ERR1946999","reverse",584,40798,41382,"gene_1",TRUE
"ERR1946999",2,41382,40798,"ERR1946999","reverse",584,40798,41382,"gene_2",FALSE
"ERR1946999",3,39907,40686,"ERR1946999","forward",779,39907,40686,"gene_3",FALSE
"ERR1946999",1,59383,59733,"ERR1946999","forward",350,59383,59733,"gene_1",TRUE
"ERR1946999",2,59797,60009,"ERR1946999","forward",212,59797,60009,"gene_2",FALSE
"ERR1946999",3,61045,60056,"ERR1946999","reverse",989,60056,61045,"gene_3",FALSE
"ERR1946999",4,62233,61145,"ERR1946999","reverse",1088,61145,62233,"gene_4",FALSE
"ERR1946999",5,62262,63722,"ERR1946999","forward",1460,62262,63722,"gene_5",FALSE
"ERR1946999",6,64279,63734,"ERR1946999","reverse",545,63734,64279,"gene_6",FALSE
"ERR1946999",7,64509,65102,"ERR1946999","forward",593,64509,65102,"gene_7",FALSE
"ERR1946999",8,65099,65644,"ERR1946999","forward",545,65099,65644,"gene_8",FALSE
"ERR1946999",9,66537,65713,"ERR1946999","reverse",824,65713,66537,"gene_9",FALSE
"ERR1946999",10,66936,67496,"ERR1946999","forward",560,66936,67496,"gene_10",FALSE
"ERR1946999",1,7165,8820,"ERR1946999","forward",1655,7165,8820,"gene_1",TRUE
"ERR1946999",2,3,7016,"ERR1946999","forward",7013,3,7016,"gene_2",FALSE
"ERR1946999",1,66145,65582,"ERR1946999","reverse",563,65582,66145,"gene_1",TRUE
"ERR1946999",2,68804,66750,"ERR1946999","reverse",2054,66750,68804,"gene_2",FALSE
"ERR1946999",3,70151,69135,"ERR1946999","reverse",1016,69135,70151,"gene_3",FALSE
"ERR1946999",4,70675,70184,"ERR1946999","reverse",491,70184,70675,"gene_4",FALSE
"ERR1946999",5,72399,70675,"ERR1946999","reverse",1724,70675,72399,"gene_5",FALSE
"ERR1946999",1,42097,41180,"ERR1946999","reverse",917,41180,42097,"gene_1",TRUE
"ERR1946999",2,41098,40088,"ERR1946999","reverse",1010,40088,41098,"gene_2",FALSE
"ERR1946999",3,39974,39600,"ERR1946999","reverse",374,39600,39974,"gene_3",FALSE
"ERR1946999",4,38258,39550,"ERR1946999","forward",1292,38258,39550,"gene_4",FALSE
"ERR1946999",5,38258,39550,"ERR1946999","forward",1292,38258,39550,"gene_5",FALSE
"ERR1946999",8,42097,41180,"ERR1946999","reverse",917,41180,42097,"gene_8",FALSE
"ERR1946999",1,74568,75005,"ERR1946999","forward",437,74568,75005,"gene_1",TRUE
"ERR1946999",2,76404,75100,"ERR1946999","reverse",1304,75100,76404,"gene_2",FALSE
"ERR1946999",1,47456,47554,"ERR1946999","forward",98,47456,47554,"gene_1",TRUE
"ERR1946999",2,48484,47585,"ERR1946999","reverse",899,47585,48484,"gene_2",FALSE
"ERR1946999",3,48574,49011,"ERR1946999","forward",437,48574,49011,"gene_3",FALSE
"ERR1946999",4,50484,49069,"ERR1946999","reverse",1415,49069,50484,"gene_4",FALSE
"ERR1946999",5,51201,50737,"ERR1946999","reverse",464,50737,51201,"gene_5",FALSE
"ERR1946999",6,52243,51314,"ERR1946999","reverse",929,51314,52243,"gene_6",FALSE
"ERR1946999",7,52338,53189,"ERR1946999","forward",851,52338,53189,"gene_7",FALSE
"ERR1946999",8,53408,53229,"ERR1946999","reverse",179,53229,53408,"gene_8",FALSE
"ERR1946999",1,70066,72054,"ERR1946999","forward",1988,70066,72054,"gene_1",TRUE
"ERR1946999",2,72516,72109,"ERR1946999","reverse",407,72109,72516,"gene_2",FALSE
"ERR1946999",3,72516,72109,"ERR1946999","reverse",407,72109,72516,"gene_3",FALSE
"ERR1946999",4,70066,72054,"ERR1946999","forward",1988,70066,72054,"gene_4",FALSE
"ERR1946999",1,24790,26553,"ERR1946999","forward",1763,24790,26553,"gene_1",TRUE
"ERR1946999",2,26979,27827,"ERR1946999","forward",848,26979,27827,"gene_2",FALSE
"ERR1946999",3,28068,28736,"ERR1946999","forward",668,28068,28736,"gene_3",FALSE
"ERR1946999",4,29181,28759,"ERR1946999","reverse",422,28759,29181,"gene_4",FALSE
"ERR1946999",5,30617,29298,"ERR1946999","reverse",1319,29298,30617,"gene_5",FALSE
"ERR1946999",1,74980,79485,"ERR1946999","forward",4505,74980,79485,"gene_1",TRUE
"ERR1946999",2,72233,74953,"ERR1946999","forward",2720,72233,74953,"gene_2",FALSE
"ERR1946999",3,72067,70745,"ERR1946999","reverse",1322,70745,72067,"gene_3",FALSE
"ERR1946999",4,70741,70106,"ERR1946999","reverse",635,70106,70741,"gene_4",FALSE
"ERR1946999",5,69511,70059,"ERR1946999","forward",548,69511,70059,"gene_5",FALSE
"ERR1946999",1,214473,212125,"ERR1946999","reverse",2348,212125,214473,"gene_1",TRUE
"ERR1946999",2,211822,209633,"ERR1946999","reverse",2189,209633,211822,"gene_2",FALSE
"ERR1946999",3,208675,209565,"ERR1946999","forward",890,208675,209565,"gene_3",FALSE
"ERR1946999",1,71429,70311,"ERR1946999","reverse",1118,70311,71429,"gene_1",TRUE
"ERR1946999",2,69393,70262,"ERR1946999","forward",869,69393,70262,"gene_2",FALSE
"ERR1946999",3,69353,68892,"ERR1946999","reverse",461,68892,69353,"gene_3",FALSE
"ERR1946999",4,68792,68202,"ERR1946999","reverse",590,68202,68792,"gene_4",FALSE
"ERR1946999",5,66992,68098,"ERR1946999","forward",1106,66992,68098,"gene_5",FALSE
"ERR1946999",6,66324,66737,"ERR1946999","forward",413,66324,66737,"gene_6",FALSE
"ERR1946999",7,66036,66305,"ERR1946999","forward",269,66036,66305,"gene_7",FALSE
"ERR1946999",1,21335,21757,"ERR1946999","forward",422,21335,21757,"gene_1",TRUE
"ERR1946999",2,21143,20133,"ERR1946999","reverse",1010,20133,21143,"gene_2",FALSE
"ERR1946999",3,19933,19127,"ERR1946999","reverse",806,19127,19933,"gene_3",FALSE
"ERR1946999",4,19933,19127,"ERR1946999","reverse",806,19127,19933,"gene_4",FALSE
"ERR1946999",6,21335,21757,"ERR1946999","forward",422,21335,21757,"gene_6",FALSE
"ERR1946999",1,37966,37178,"ERR1946999","reverse",788,37178,37966,"gene_1",TRUE
"ERR1946999",2,38167,39423,"ERR1946999","forward",1256,38167,39423,"gene_2",FALSE
"ERR1946999",3,38167,39423,"ERR1946999","forward",1256,38167,39423,"gene_3",FALSE
"ERR1946999",4,37966,37178,"ERR1946999","reverse",788,37178,37966,"gene_4",FALSE
"ERR1946999",5,37966,37178,"ERR1946999","reverse",788,37178,37966,"gene_5",FALSE
"ERR1946999",1,8962,9213,"ERR1946999","forward",251,8962,9213,"gene_1",TRUE
"ERR1946999",2,9626,10096,"ERR1946999","forward",470,9626,10096,"gene_2",FALSE
"ERR1946999",3,10285,10566,"ERR1946999","forward",281,10285,10566,"gene_3",FALSE
"ERR1946999",4,10741,11124,"ERR1946999","forward",383,10741,11124,"gene_4",FALSE
"ERR1946999",1,65146,65439,"ERR1946999","forward",293,65146,65439,"gene_1",TRUE
"ERR1946999",2,66027,65491,"ERR1946999","reverse",536,65491,66027,"gene_2",FALSE
"ERR1946999",3,66521,66072,"ERR1946999","reverse",449,66072,66521,"gene_3",FALSE
"ERR1946999",4,66668,67918,"ERR1946999","forward",1250,66668,67918,"gene_4",FALSE
"ERR1946999",5,67959,69365,"ERR1946999","forward",1406,67959,69365,"gene_5",FALSE
"ERR1946999",6,69373,70119,"ERR1946999","forward",746,69373,70119,"gene_6",FALSE
"ERR1946999",1,55004,53985,"ERR1946999","reverse",1019,53985,55004,"gene_1",TRUE
"ERR1946999",2,57538,55001,"ERR1946999","reverse",2537,55001,57538,"gene_2",FALSE
"ERR1946999",3,58330,57590,"ERR1946999","reverse",740,57590,58330,"gene_3",FALSE
"ERR1946999",4,58937,58401,"ERR1946999","reverse",536,58401,58937,"gene_4",FALSE
"ERR1946999",1,59291,58695,"ERR1946999","reverse",596,58695,59291,"gene_1",TRUE
"ERR1946999",2,59630,59301,"ERR1946999","reverse",329,59301,59630,"gene_2",FALSE
"ERR1946999",3,60132,59896,"ERR1946999","reverse",236,59896,60132,"gene_3",FALSE
"ERR1946999",4,61497,60310,"ERR1946999","reverse",1187,60310,61497,"gene_4",FALSE
"ERR1946999",5,61631,62716,"ERR1946999","forward",1085,61631,62716,"gene_5",FALSE
"ERR1946999",6,63564,62797,"ERR1946999","reverse",767,62797,63564,"gene_6",FALSE
"ERR1946999",1,45768,47000,"ERR1946999","forward",1232,45768,47000,"gene_1",TRUE
"ERR1946999",2,44473,45336,"ERR1946999","forward",863,44473,45336,"gene_2",FALSE
"ERR1946999",3,44473,45336,"ERR1946999","forward",863,44473,45336,"gene_3",FALSE
"ERR1946999",1,36058,34226,"ERR1946999","reverse",1832,34226,36058,"gene_1",TRUE
"ERR1946999",2,32667,34184,"ERR1946999","forward",1517,32667,34184,"gene_2",FALSE
"ERR1946999",3,31004,32512,"ERR1946999","forward",1508,31004,32512,"gene_3",FALSE
"ERR1946999",1,2784,3896,"ERR1946999","forward",1112,2784,3896,"gene_1",TRUE
"ERR1946999",2,4076,4207,"ERR1946999","forward",131,4076,4207,"gene_2",FALSE
"ERR1946999",3,4629,5054,"ERR1946999","forward",425,4629,5054,"gene_3",FALSE
"ERR1946999",4,6711,5128,"ERR1946999","reverse",1583,5128,6711,"gene_4",FALSE
"ERR1946999",5,7414,6971,"ERR1946999","reverse",443,6971,7414,"gene_5",FALSE
"ERR1946999",1,107376,106897,"ERR1946999","reverse",479,106897,107376,"gene_1",TRUE
"ERR1946999",2,106612,106391,"ERR1946999","reverse",221,106391,106612,"gene_2",FALSE
"ERR1946999",3,106285,105968,"ERR1946999","reverse",317,105968,106285,"gene_3",FALSE
"ERR1946999",4,105662,105883,"ERR1946999","forward",221,105662,105883,"gene_4",FALSE
"ERR1946999",5,105146,105574,"ERR1946999","forward",428,105146,105574,"gene_5",FALSE
"ERR1946999",6,105146,105574,"ERR1946999","forward",428,105146,105574,"gene_6",FALSE
"ERR1946999",1,24933,25490,"ERR1946999","forward",557,24933,25490,"gene_1",TRUE
"ERR1946999",2,26551,27042,"ERR1946999","forward",491,26551,27042,"gene_2",FALSE
"ERR1946999",3,28259,27087,"ERR1946999","reverse",1172,27087,28259,"gene_3",FALSE
"ERR1946999",4,30425,28272,"ERR1946999","reverse",2153,28272,30425,"gene_4",FALSE
"ERR1946999",1,20862,19471,"ERR1946999","reverse",1391,19471,20862,"gene_1",TRUE
"ERR1946999",2,19275,17809,"ERR1946999","reverse",1466,17809,19275,"gene_2",FALSE
"ERR1946999",1,43983,43261,"ERR1946999","reverse",722,43261,43983,"gene_1",TRUE
"ERR1946999",4,44639,44388,"ERR1946999","reverse",251,44388,44639,"gene_4",FALSE
"ERR1946999",7,47026,46703,"ERR1946999","reverse",323,46703,47026,"gene_7",FALSE
"ERR1946999",1,94951,96453,"ERR1946999","forward",1502,94951,96453,"gene_1",TRUE
"ERR1946999",2,93814,94713,"ERR1946999","forward",899,93814,94713,"gene_2",FALSE
"ERR1946999",3,92861,93784,"ERR1946999","forward",923,92861,93784,"gene_3",FALSE
"ERR1946999",4,92653,91640,"ERR1946999","reverse",1013,91640,92653,"gene_4",FALSE
"ERR1946999",1,1400,1906,"ERR1946999","forward",506,1400,1906,"gene_1",TRUE
"ERR1946999",2,1002,1400,"ERR1946999","forward",398,1002,1400,"gene_2",FALSE
"ERR1946999",1,114662,113229,"ERR1946999","reverse",1433,113229,114662,"gene_1",TRUE
"ERR1946999",2,114662,113229,"ERR1946999","reverse",1433,113229,114662,"gene_2",FALSE
"ERR1946999",3,114662,113229,"ERR1946999","reverse",1433,113229,114662,"gene_3",FALSE
"ERR1946999",1,72558,71434,"ERR1946999","reverse",1124,71434,72558,"gene_1",TRUE
"ERR1946999",2,74326,72569,"ERR1946999","reverse",1757,72569,74326,"gene_2",FALSE
"ERR1946999",3,75341,74319,"ERR1946999","reverse",1022,74319,75341,"gene_3",FALSE
"ERR1946999",1,80896,80432,"ERR1946999","reverse",464,80432,80896,"gene_1",TRUE
"ERR1946999",2,80241,80026,"ERR1946999","reverse",215,80026,80241,"gene_2",FALSE
"ERR1946999",3,80241,80026,"ERR1946999","reverse",215,80026,80241,"gene_3",FALSE
"ERR1946999",4,80896,80432,"ERR1946999","reverse",464,80432,80896,"gene_4",FALSE
"ERR1946999",5,80896,80432,"ERR1946999","reverse",464,80432,80896,"gene_5",FALSE
"ERR1946999",1,149879,148731,"ERR1946999","reverse",1148,148731,149879,"gene_1",TRUE
"ERR1946999",2,148573,147737,"ERR1946999","reverse",836,147737,148573,"gene_2",FALSE
"ERR1946999",3,147686,147081,"ERR1946999","reverse",605,147081,147686,"gene_3",FALSE
"ERR1946999",1,55344,55039,"ERR1946999","reverse",305,55039,55344,"gene_1",TRUE
"ERR1946999",2,55787,55951,"ERR1946999","forward",164,55787,55951,"gene_2",FALSE
"ERR1946999",3,56365,56024,"ERR1946999","reverse",341,56024,56365,"gene_3",FALSE
"ERR1946999",4,56762,56496,"ERR1946999","reverse",266,56496,56762,"gene_4",FALSE
"ERR1946999",5,56762,56496,"ERR1946999","reverse",266,56496,56762,"gene_5",FALSE
"ERR1946999",8,55344,55039,"ERR1946999","reverse",305,55039,55344,"gene_8",FALSE
"ERR1946999",1,4091,4645,"ERR1946999","forward",554,4091,4645,"gene_1",TRUE
"ERR1946999",2,6978,4708,"ERR1946999","reverse",2270,4708,6978,"gene_2",FALSE
"ERR1946999",1,66055,66297,"ERR1946999","forward",242,66055,66297,"gene_1",TRUE
"ERR1946999",2,65528,65956,"ERR1946999","forward",428,65528,65956,"gene_2",FALSE
"ERR1946999",3,13809,12703,"ERR1946999","reverse",1106,12703,13809,"gene_3",FALSE
"ERR1946999",4,15159,13819,"ERR1946999","reverse",1340,13819,15159,"gene_4",FALSE
"ERR1946999",1,15159,13819,"ERR1946999","reverse",1340,13819,15159,"gene_1",TRUE
"ERR1946999",2,13809,12703,"ERR1946999","reverse",1106,12703,13809,"gene_2",FALSE
"ERR1946999",1,15295,15678,"ERR1946999","forward",383,15295,15678,"gene_1",TRUE
"ERR1946999",2,15188,14790,"ERR1946999","reverse",398,14790,15188,"gene_2",FALSE
"ERR1946999",3,14662,14135,"ERR1946999","reverse",527,14135,14662,"gene_3",FALSE
"ERR1946999",4,12712,14028,"ERR1946999","forward",1316,12712,14028,"gene_4",FALSE
"ERR1946999",1,66936,67496,"ERR1946999","forward",560,66936,67496,"gene_1",TRUE
"ERR1946999",2,67745,67560,"ERR1946999","reverse",185,67560,67745,"gene_2",FALSE
"ERR1946999",3,67745,67560,"ERR1946999","reverse",185,67560,67745,"gene_3",FALSE
"ERR1946999",4,66936,67496,"ERR1946999","forward",560,66936,67496,"gene_4",FALSE
"ERR1946999",5,66936,67496,"ERR1946999","forward",560,66936,67496,"gene_5",FALSE
"ERR1946999",1,18069,17635,"ERR1946999","reverse",434,17635,18069,"gene_1",TRUE
"ERR1946999",2,18585,18130,"ERR1946999","reverse",455,18130,18585,"gene_2",FALSE
"ERR1946999",3,18585,18130,"ERR1946999","reverse",455,18130,18585,"gene_3",FALSE
"ERR1946999",4,18069,17635,"ERR1946999","reverse",434,17635,18069,"gene_4",FALSE
"ERR1946999",1,142780,143451,"ERR1946999","forward",671,142780,143451,"gene_1",TRUE
"ERR1946999",2,141715,142431,"ERR1946999","forward",716,141715,142431,"gene_2",FALSE
"ERR1946999",3,141360,141749,"ERR1946999","forward",389,141360,141749,"gene_3",FALSE
"ERR1946999",1,11857,11630,"ERR1946999","reverse",227,11630,11857,"gene_1",TRUE
"ERR1946999",3,11857,11630,"ERR1946999","reverse",227,11630,11857,"gene_3",FALSE
"ERR1946999",1,37369,38127,"ERR1946999","forward",758,37369,38127,"gene_1",TRUE
"ERR1946999",2,36450,37388,"ERR1946999","forward",938,36450,37388,"gene_2",FALSE
"ERR1946999",3,36450,37388,"ERR1946999","forward",938,36450,37388,"gene_3",FALSE
"ERR1946999",4,37369,38127,"ERR1946999","forward",758,37369,38127,"gene_4",FALSE
"ERR1946999",1,72731,73321,"ERR1946999","forward",590,72731,73321,"gene_1",TRUE
"ERR1946999",2,73957,73367,"ERR1946999","reverse",590,73367,73957,"gene_2",FALSE
"ERR1946999",3,74143,74889,"ERR1946999","forward",746,74143,74889,"gene_3",FALSE
"ERR1946999",4,75155,74925,"ERR1946999","reverse",230,74925,75155,"gene_4",FALSE
"ERR1946999",1,11741,11274,"ERR1946999","reverse",467,11274,11741,"gene_1",TRUE
"ERR1946999",2,11741,11274,"ERR1946999","reverse",467,11274,11741,"gene_2",FALSE
"ERR1946999",1,12207,13733,"ERR1946999","forward",1526,12207,13733,"gene_1",TRUE
"ERR1946999",2,14329,13742,"ERR1946999","reverse",587,13742,14329,"gene_2",FALSE
"ERR1946999",3,14733,14497,"ERR1946999","reverse",236,14497,14733,"gene_3",FALSE
"ERR1946999",1,64516,64292,"ERR1946999","reverse",224,64292,64516,"gene_1",TRUE
"ERR1946999",2,65215,65015,"ERR1946999","reverse",200,65015,65215,"gene_2",FALSE
"ERR1946999",3,65771,65346,"ERR1946999","reverse",425,65346,65771,"gene_3",FALSE
"ERR1946999",1,170,622,"ERR1946999","forward",452,170,622,"gene_1",TRUE
"ERR1946999",2,170,622,"ERR1946999","forward",452,170,622,"gene_2",FALSE
"ERR1946999",3,170,622,"ERR1946999","forward",452,170,622,"gene_3",FALSE
"ERR1946999",1,108414,108533,"ERR1946999","forward",119,108414,108533,"gene_1",TRUE
"ERR1946999",2,109505,108690,"ERR1946999","reverse",815,108690,109505,"gene_2",FALSE
"ERR1946999",1,18568,18702,"ERR1946999","forward",134,18568,18702,"gene_1",TRUE
"ERR1946999",2,18732,19124,"ERR1946999","forward",392,18732,19124,"gene_2",FALSE
"ERR1946999",3,19135,19455,"ERR1946999","forward",320,19135,19455,"gene_3",FALSE
"ERR1946999",4,19461,21221,"ERR1946999","forward",1760,19461,21221,"gene_4",FALSE
"ERR1946999",1,42744,41995,"ERR1946999","reverse",749,41995,42744,"gene_1",TRUE
"ERR1946999",2,43452,42907,"ERR1946999","reverse",545,42907,43452,"gene_2",FALSE
"ERR1946999",3,43452,42907,"ERR1946999","reverse",545,42907,43452,"gene_3",FALSE
"ERR1946999",4,42744,41995,"ERR1946999","reverse",749,41995,42744,"gene_4",FALSE
"ERR1946999",1,64113,63739,"ERR1946999","reverse",374,63739,64113,"gene_1",TRUE
"ERR1946999",2,64113,63739,"ERR1946999","reverse",374,63739,64113,"gene_2",FALSE
"ERR1946999",1,110009,109785,"ERR1946999","reverse",224,109785,110009,"gene_1",TRUE
