qname,qid,qstart,qend
ERR1946999,5,82060,80156
ERR1946999,6,80084,79203
ERR1946999,7,78793,76973
ERR1946999,9,76569,75751
ERR1946999,10,75754,74978
ERR1946999,11,74978,74298
ERR1946999,12,74271,73630
ERR1946999,13,73618,73331
ERR1946999,14,72248,73261
ERR1946999,15,72090,71509
ERR1946999,16,71494,71093
ERR1946999,17,70455,71090
ERR1946999,18,68417,70462
ERR1946999,19,68396,67581
ERR1946999,20,67501,66515
ERR1946999,21,63901,66471
ERR1946999,22,63625,62753
ERR1946999,23,62700,61381
ERR1946999,24,60391,61338
ERR1946999,25,59488,60264
ERR1946999,26,58942,59379
ERR1946999,27,58092,58856
ERR1946999,28,56399,57946
ERR1946999,29,55165,56355
ERR1946999,30,54997,54269
ERR1946999,31,54017,53706
ERR1946999,32,53648,53010
ERR1946999,33,52998,52396
ERR1946999,34,52399,52079
ERR1946999,35,52067,51243
ERR1946999,36,51229,50954
ERR1946999,37,50942,50613
ERR1946999,38,50611,49859
ERR1946999,39,49855,49442
ERR1946999,40,49442,49245
ERR1946999,41,49248,48991
ERR1946999,42,48898,48530
ERR1946999,43,48520,48203
ERR1946999,44,48187,47651
ERR1946999,45,47641,47336
ERR1946999,46,47324,46929
ERR1946999,47,46915,46382
ERR1946999,48,46367,46017
ERR1946999,49,46014,45517
ERR1946999,50,45510,45334
ERR1946999,51,45330,44890
ERR1946999,52,44877,43525
ERR1946999,53,43504,43388
ERR1946999,54,43280,42924
ERR1946999,55,42904,42518
ERR1946999,56,42505,41879
ERR1946999,57,41861,40854
ERR1946999,58,40835,40458
ERR1946999,59,40276,38786
ERR1946999,1,39978,39775
ERR1946999,2,39489,38650
ERR1946999,3,37369,38634
ERR1946999,4,36091,37263
ERR1946999,5,35523,35981
ERR1946999,6,35328,35170
ERR1946999,7,34998,34261
ERR1946999,8,34075,33713
ERR1946999,9,33572,32538
ERR1946999,10,32490,31954
ERR1946999,11,31944,31699
ERR1946999,12,31668,31108
ERR1946999,13,31069,30041
ERR1946999,14,28614,30038
ERR1946999,15,28523,28149
ERR1946999,16,27263,28165
ERR1946999,17,27142,26339
ERR1946999,18,26334,25144
ERR1946999,19,24450,25103
ERR1946999,20,23577,24398
ERR1946999,21,23392,23042
ERR1946999,22,21815,22927
ERR1946999,23,21333,21710
ERR1946999,24,18068,21193
ERR1946999,25,16965,18065
ERR1946999,26,16965,18065
ERR1946999,1,130389,128536
ERR1946999,2,128515,127895
ERR1946999,3,127699,126341
ERR1946999,4,126323,125811
ERR1946999,5,125638,124010
ERR1946999,6,122638,123903
ERR1946999,7,122338,121025
ERR1946999,8,120128,120970
ERR1946999,9,119024,120043
ERR1946999,10,118831,116648
ERR1946999,11,116497,115211
ERR1946999,12,115186,114635
ERR1946999,13,114535,114335
ERR1946999,14,114221,113790
ERR1946999,15,113667,112435
ERR1946999,16,112419,111619
ERR1946999,17,111628,110837
ERR1946999,18,110815,109700
ERR1946999,19,109703,108411
ERR1946999,20,108382,107684
ERR1946999,21,107684,106539
ERR1946999,22,106351,104942
ERR1946999,1,55448,54684
ERR1946999,2,54396,53503
ERR1946999,3,52986,53495
ERR1946999,4,51646,52650
ERR1946999,5,50313,51497
ERR1946999,6,49887,50294
ERR1946999,7,48893,49819
ERR1946999,8,48653,47526
ERR1946999,9,47514,47200
ERR1946999,10,47187,45733
ERR1946999,11,44859,45680
ERR1946999,12,44206,44607
ERR1946999,13,43330,44124
ERR1946999,14,42447,43313
ERR1946999,15,41648,42436
ERR1946999,16,38744,41551
ERR1946999,17,38571,37657
ERR1946999,18,37634,36816
ERR1946999,19,36806,35415
ERR1946999,20,35384,33078
ERR1946999,21,32260,33033
ERR1946999,22,32148,31342
ERR1946999,23,31373,30963
ERR1946999,24,30838,29375
ERR1946999,25,29378,28896
ERR1946999,26,28850,28041
ERR1946999,27,28037,27189
ERR1946999,28,27166,26315
ERR1946999,29,26360,26049
ERR1946999,30,26046,25510
ERR1946999,31,23820,25448
ERR1946999,32,23408,21486
ERR1946999,33,21249,20929
ERR1946999,34,20723,20103
ERR1946999,35,20050,19622
ERR1946999,36,18332,19582
ERR1946999,37,18083,17889
ERR1946999,38,17877,17518
ERR1946999,39,17427,16870
ERR1946999,40,16811,16308
ERR1946999,1,245160,245447
ERR1946999,2,244804,245076
ERR1946999,3,243965,244801
ERR1946999,4,243196,243918
ERR1946999,5,242028,243074
ERR1946999,6,241085,242011
ERR1946999,7,240840,240187
ERR1946999,9,239993,237954
ERR1946999,10,237929,237477
ERR1946999,11,237277,235859
ERR1946999,12,235844,234936
ERR1946999,13,234815,234033
ERR1946999,14,233906,233076
ERR1946999,15,232823,232368
ERR1946999,16,232215,231148
ERR1946999,17,231148,230825
ERR1946999,18,230372,230770
ERR1946999,19,230260,229823
ERR1946999,20,228635,229753
ERR1946999,21,227540,228607
ERR1946999,22,227443,226751
ERR1946999,23,222953,226549
ERR1946999,24,221675,222943
ERR1946999,25,221529,221038
ERR1946999,26,220593,220970
ERR1946999,27,220213,219761
ERR1946999,28,219671,218766
ERR1946999,29,217659,218774
ERR1946999,30,216536,217633
ERR1946999,31,216477,215980
ERR1946999,32,215710,214559
ERR1946999,33,214552,213029
ERR1946999,34,212726,210741
ERR1946999,1,78883,79845
ERR1946999,2,77834,78736
ERR1946999,3,76423,77820
ERR1946999,4,75047,76426
ERR1946999,5,73915,74946
ERR1946999,6,72080,73459
ERR1946999,7,70218,71939
ERR1946999,8,70083,69598
ERR1946999,9,68096,69526
ERR1946999,10,66287,67819
ERR1946999,11,64911,66284
ERR1946999,12,64443,63742
ERR1946999,15,61343,62437
ERR1946999,16,60260,61330
ERR1946999,17,60119,59424
ERR1946999,18,59257,58241
ERR1946999,19,55347,58184
ERR1946999,20,54564,55202
ERR1946999,21,53727,54431
ERR1946999,22,52367,53665
ERR1946999,23,51713,52324
ERR1946999,24,51219,51596
ERR1946999,25,51047,49584
ERR1946999,26,48916,49548
ERR1946999,27,48812,48429
ERR1946999,28,45609,48371
ERR1946999,29,44671,45486
ERR1946999,30,43128,44522
ERR1946999,1,172242,172886
ERR1946999,2,171510,172235
ERR1946999,3,170783,171496
ERR1946999,4,170573,170773
ERR1946999,5,169526,170554
ERR1946999,6,168828,169520
ERR1946999,7,168482,168856
ERR1946999,8,167631,168458
ERR1946999,9,165743,167560
ERR1946999,10,165116,165568
ERR1946999,11,163619,164995
ERR1946999,12,163394,161745
ERR1946999,13,161274,161690
ERR1946999,14,160537,161136
ERR1946999,15,159457,160527
ERR1946999,16,158643,159455
ERR1946999,17,158379,157372
ERR1946999,18,157341,156733
ERR1946999,19,156652,155819
ERR1946999,20,155822,154938
ERR1946999,21,154926,153865
ERR1946999,22,153793,152870
ERR1946999,23,152041,152781
ERR1946999,24,151746,150925
ERR1946999,25,150846,150136
ERR1946999,26,150095,149424
ERR1946999,27,149410,148994
ERR1946999,28,148902,148216
ERR1946999,29,148198,147737
ERR1946999,30,147615,147046
ERR1946999,31,146343,146975
ERR1946999,32,146275,145475
ERR1946999,33,145161,145478
ERR1946999,34,143561,144766
ERR1946999,35,139645,143478
ERR1946999,36,139335,137995
ERR1946999,37,137903,137304
ERR1946999,38,137295,136291
ERR1946999,39,136086,134752
ERR1946999,1,206888,207001
ERR1946999,2,204655,206793
ERR1946999,3,204006,204476
ERR1946999,4,203472,203846
ERR1946999,5,201946,203271
ERR1946999,6,201649,200420
ERR1946999,7,200401,199949
ERR1946999,8,199778,198918
ERR1946999,9,198827,198267
ERR1946999,10,197882,196257
ERR1946999,11,196264,195236
ERR1946999,12,194002,194958
ERR1946999,13,192503,193954
ERR1946999,14,191323,192438
ERR1946999,15,190306,191280
ERR1946999,16,188648,190294
ERR1946999,17,187509,188621
ERR1946999,18,187405,186425
ERR1946999,19,185188,186372
ERR1946999,20,184252,184515
ERR1946999,21,183759,184250
ERR1946999,22,183623,183147
ERR1946999,23,182554,183105
ERR1946999,24,181596,182333
ERR1946999,25,180533,181585
ERR1946999,26,180461,179304
ERR1946999,27,179145,177280
ERR1946999,28,176000,177283
ERR1946999,29,175911,174202
ERR1946999,30,174197,173619
ERR1946999,31,173599,172766
ERR1946999,1,17193,15391
ERR1946999,2,18731,17190
ERR1946999,3,19472,20881
ERR1946999,4,21007,21516
ERR1946999,5,21513,22391
ERR1946999,6,22502,23947
ERR1946999,7,24059,24259
ERR1946999,8,24712,24269
ERR1946999,9,25958,25332
ERR1946999,10,26862,26104
ERR1946999,11,27056,28231
ERR1946999,12,29519,28281
ERR1946999,13,31881,29611
ERR1946999,14,34967,32118
ERR1946999,15,35824,35102
ERR1946999,16,36679,35843
ERR1946999,17,38133,36751
ERR1946999,18,38355,38891
ERR1946999,19,39313,38930
ERR1946999,20,41882,39417
ERR1946999,21,43179,42166
ERR1946999,22,43376,44788
ERR1946999,23,45042,44908
ERR1946999,24,46246,45032
ERR1946999,25,47767,46421
ERR1946999,26,49250,48180
ERR1946999,1,147344,146871
ERR1946999,2,146871,146317
ERR1946999,3,146316,145315
ERR1946999,4,145318,144500
ERR1946999,5,144500,140634
ERR1946999,6,140621,140139
ERR1946999,7,140142,139717
ERR1946999,8,139570,139319
ERR1946999,9,139299,138751
ERR1946999,10,138705,137965
ERR1946999,11,137756,137388
ERR1946999,12,136361,137335
ERR1946999,13,135245,136279
ERR1946999,14,135091,134186
ERR1946999,15,134166,133390
ERR1946999,16,133180,132737
ERR1946999,17,131869,132729
ERR1946999,18,130893,131777
ERR1946999,19,129562,130794
ERR1946999,20,129182,127773
ERR1946999,21,127678,127310
ERR1946999,22,126950,127264
ERR1946999,23,126349,126936
ERR1946999,24,126124,125759
ERR1946999,25,125389,124160
ERR1946999,26,121973,124123
ERR1946999,27,121204,121779
ERR1946999,28,119970,121088
ERR1946999,29,119251,119847
ERR1946999,30,119044,118577
ERR1946999,31,118437,117874
ERR1946999,32,117291,117824
ERR1946999,33,116481,117275
ERR1946999,34,116353,115076
ERR1946999,35,114662,113229
ERR1946999,1,132969,131179
ERR1946999,2,131025,130399
ERR1946999,3,129687,130355
ERR1946999,4,129167,129574
ERR1946999,5,128223,129170
ERR1946999,6,127761,128066
ERR1946999,7,127173,127700
ERR1946999,8,126163,126951
ERR1946999,9,124529,126097
ERR1946999,10,124153,122924
ERR1946999,11,122427,122864
ERR1946999,12,122233,121592
ERR1946999,13,120994,121584
ERR1946999,14,120392,120778
ERR1946999,15,119539,120381
ERR1946999,16,119070,119462
ERR1946999,17,118743,119051
ERR1946999,19,117457,118221
ERR1946999,20,115599,117464
ERR1946999,21,114270,115544
ERR1946999,22,110623,114273
ERR1946999,24,106382,106642
ERR1946999,25,104592,106385
ERR1946999,26,102670,104559
ERR1946999,1,187388,186387
ERR1946999,2,186164,185241
ERR1946999,3,185241,184909
ERR1946999,4,184897,183065
ERR1946999,5,183061,181562
ERR1946999,6,181553,180153
ERR1946999,7,180152,179034
ERR1946999,8,178973,178641
ERR1946999,9,178638,177814
ERR1946999,10,175241,177796
ERR1946999,11,175078,174020
ERR1946999,12,174020,173379
ERR1946999,13,173382,172642
ERR1946999,14,172631,172104
ERR1946999,15,172036,169871
ERR1946999,16,169859,169290
ERR1946999,17,169261,168179
ERR1946999,18,168163,167288
ERR1946999,19,166833,162352
ERR1946999,20,162282,160861
ERR1946999,21,160685,159798
ERR1946999,22,159667,159077
ERR1946999,23,159055,157973
ERR1946999,1,108414,108533
ERR1946999,2,106737,105631
ERR1946999,3,104422,105636
ERR1946999,4,104310,103864
ERR1946999,5,103777,103448
ERR1946999,6,103434,103288
ERR1946999,7,103434,103288
ERR1946999,1,90145,90696
ERR1946999,2,90703,91380
ERR1946999,3,91465,93252
ERR1946999,4,93266,93775
ERR1946999,5,93772,95103
ERR1946999,6,95115,97799
ERR1946999,7,97803,98819
ERR1946999,8,98838,99380
ERR1946999,9,99377,99898
ERR1946999,10,99898,100206
ERR1946999,11,100203,102092
ERR1946999,12,102094,103692
ERR1946999,13,103695,105191
ERR1946999,14,105292,105927
ERR1946999,15,106044,106337
ERR1946999,16,107244,106357
ERR1946999,17,107331,108092
ERR1946999,18,108562,108140
ERR1946999,19,108852,109079
ERR1946999,20,109307,110983
ERR1946999,21,111112,111282
ERR1946999,22,112494,111295
ERR1946999,23,113493,112612
ERR1946999,24,114693,113560
ERR1946999,25,116377,114734
ERR1946999,26,116943,116374
ERR1946999,27,117122,117745
ERR1946999,1,106821,106213
ERR1946999,2,107155,106847
ERR1946999,3,108176,107172
ERR1946999,4,108414,110510
ERR1946999,6,110762,113701
ERR1946999,7,113722,114873
ERR1946999,8,116251,114914
ERR1946999,9,116920,116270
ERR1946999,10,118606,117065
ERR1946999,11,118714,119385
ERR1946999,12,119385,120065
ERR1946999,13,121582,120062
ERR1946999,14,121771,122820
ERR1946999,15,122902,123654
ERR1946999,16,123664,124077
ERR1946999,17,124087,126363
ERR1946999,18,126367,126729
ERR1946999,19,127157,128212
ERR1946999,20,129177,128260
ERR1946999,21,129740,129180
ERR1946999,22,129876,131900
ERR1946999,23,131971,132378
ERR1946999,24,132421,133137
ERR1946999,25,133157,134251
ERR1946999,1,8553,7498
ERR1946999,2,7488,6682
ERR1946999,3,6672,5977
ERR1946999,4,4983,5966
ERR1946999,5,2601,4976
ERR1946999,6,1100,2599
ERR1946999,7,843,289
ERR1946999,1,18568,18702
ERR1946999,2,18732,19124
ERR1946999,3,19135,19455
ERR1946999,4,19461,21221
ERR1946999,5,21312,22667
ERR1417339,1,1503,1078
ERR1417339,2,916,476
ERR1417339,3,273,175
ERR1417339,1,11647,14418
ERR1417339,2,15048,14479
ERR1417339,3,15900,15070
ERR1417339,4,17161,15878
ERR1417339,5,18039,17218
ERR1417339,6,19578,18058
ERR1417339,7,19858,20184
ERR1417339,8,20506,21774
ERR1417339,9,22188,22439
ERR1417339,10,22906,22610
ERR1417339,11,25284,22903
ERR1417339,12,26298,25318
ERR1417339,1,5536,6297
ERR1417339,2,4842,5528
ERR1417339,1,20571,21923
ERR1417339,2,21920,22486
ERR1417339,1,9322,8888
ERR1417339,1,944,2146
ERR1417339,2,2152,2832
ERR1417339,3,2836,3372
ERR1417339,1,7917,5788
ERR1417339,2,8616,8050
ERR1417339,3,8692,9516
ERR1417339,4,9536,9826
ERR1417339,6,10764,10333
ERR1417339,7,12856,11021
ERR1417339,8,13035,14393
ERR1417339,9,14456,15469
ERR1417339,10,15491,16951
ERR1417339,11,17228,18433
ERR1417339,12,18437,18595
ERR1417339,13,19790,18720
ERR1417339,14,20172,20687
ERR1417339,15,20796,21971
ERR1417339,16,22097,22540
ERR1417339,17,22936,22583
ERR1417339,18,23504,23019
